ITEMID	CONFIGID	STOCK	FECHAPROX
662536UK		35	05/06/2020
663023		27	14/03/2020
663023UK		27	14/03/2020
663542		6	16/03/2020
663554		44	16/03/2020
663554R01		3	04/07/2020
663565R01		2	04/07/2020
663618		66	16/03/2020
663676		36	14/03/2020
664115		22	04/07/2020
664443		8	14/03/2020
664443UK		8	
671347R01		2	
671630R01		28	
673699		38	04/07/2020
673744		16	
673938		45	04/05/2020
675327		25	
675406		94	04/07/2020
679215D		5	04/07/2020
679215N		25	15/03/2020
679215R01		11	
679526		23	
679526D		8	
679526N		13	14/03/2020
680941		19	17/03/2020
683195		26	29/05/2020
683284		29	29/05/2020
683759		1	
684530		73	04/07/2020
685201		48	04/07/2020
685201UK		51	04/07/2020
685216		44	04/07/2020
685216UK		51	04/07/2020
685216UKR01		30	04/07/2020
685364		7	
685364UKR01		35	04/07/2020
685372		11	04/07/2020
685372UK		11	04/07/2020
685483		20	04/07/2020
685483UK		21	04/07/2020
685497		29	04/07/2020
685497UK		31	04/07/2020
687355		3	
689127		17	26/06/2020
689253		11	
689253D			
690217		3	
691573		8	
692514R01		7	
692514R02		5	04/07/2020
69441581	7608	38	04/07/2020
694931		70	04/07/2020
695190		25	14/03/2020
696252		12	
696318		20	26/06/2020
696427		24	04/07/2020
697601		19	14/03/2020
697712		58	08/05/2020
697825		13	24/04/2020
697825UK		13	
697825UKR01		7	
697943		2	14/03/2020
698426		21	04/07/2020
698426UK		21	04/07/2020
70101		5	04/07/2020
70122		5	04/07/2020
70155		6	04/07/2020
70201		4	04/07/2020
70302		9	04/07/2020
70350		7	04/07/2020
70363			04/07/2020
70421		4	04/07/2020
70454		7	04/07/2020
70605		6	04/07/2020
70721001		3	
7075		9	14/03/2020
70806		0	04/07/2020
7083210		263	
710936		5	
711021		49	26/06/2020
711132		4	14/03/2020
711324		60	14/03/2020
713016		4	14/03/2020
7148		5	
716153		8	14/03/2020
716153UK		10	
716208		19	17/07/2020
7164		100	
716478		8	14/03/2020
716478D		0	04/07/2020
716583		5	17/03/2020
716620		9	
716620D		2	04/07/2020
718257		18	05/06/2020
719		0	
721745		22	04/07/2020
723714		38	
723820		33	26/06/2020
723820UK		36	
723955		45	14/03/2020
725106		4	14/03/2020
725751		1	15/05/2020
726012		27	04/07/2020
726124		19	14/03/2020
726281		46	14/03/2020
726348		51	
726439		12	
729040		38	04/07/2020
732401		13	16/03/2020
73541000		19	
735836R01		4	04/07/2020
736198		5	
736210		46	14/03/2020
736210UK		46	
736321		62	04/07/2020
736321UK		66	04/07/2020
736321UKR01		45	04/07/2020
736543		2	26/06/2020
736543D			04/07/2020
7368		21	
7374		1	
738026		23	
741563		6	
742215		14	16/03/2020
742350		0	08/05/2020
743264		12	04/07/2020
743352		24	
7437		3	
743826		30	14/03/2020
7441		3	
7443		18	14/03/2020
7452		1	
745201		3	
746709		8	
748472		20	14/03/2020
748592		15	
748592UK		18	
748631		2	
748631UK		2	
748719		102	04/07/2020
748719UK		104	04/07/2020
7502		11	
75064543		1	04/07/2020
7507/210		11	
75074542		1	
751213		22	04/07/2020
753108		45	04/07/2020
753114		43	
753251		10	
753260		15	04/07/2020
753319		38	
753321		1	
7534		9	
754031		18	04/07/2020
754192		8	04/07/2020
754306		3	
754861		29	16/03/2020
755108		27	17/07/2020
75651547		2	
756729		3	05/06/2020
756853		14	04/07/2020
757186		8	
758022		8	08/05/2020
7608		38	14/03/2020
7611		32	31/05/2020
7613		40	
761398		10	04/07/2020
761508		71	
761508UK		77	
761508UKR01		45	04/07/2020
761690		40	15/03/2020
761690UK		48	
761690UKR01		20	04/07/2020
762905		32	17/07/2020
763712		61	04/07/2020
763824		12	14/03/2020
764011		4	13/03/2020
764123		11	13/03/2020
764352		14	14/03/2020
764599		36	17/03/2020
765376		44	
765509		47	
769932		52	17/07/2020
77		1	
770916		31	04/07/2020
772518		85	04/07/2020
773106		37	14/03/2020
773421		19	14/03/2020
773572		17	17/03/2020
775922		10	15/05/2020
776538		2	
779025		43	04/07/2020
781539		23	16/03/2020
782619		7	04/07/2020
783517		0	14/03/2020
783517D		0	04/07/2020
783529		7	14/03/2020
783529D		0	04/07/2020
783618		14	08/05/2020
783618D		0	04/07/2020
783627		0	08/05/2020
783627D		0	04/07/2020
783741		49	08/05/2020
783753		9	14/03/2020
784326		234	14/03/2020
784326R01		19	04/07/2020
784347		92	08/05/2020
784347R01		0	
785194		31	
785263		39	
785635		18	14/03/2020
785635D		1	04/07/2020
785648		11	08/05/2020
785648D		0	
785861		1	
785861D			
786136		33	14/03/2020
786351		0	24/04/2020
786430		22	26/06/2020
786485		11	14/03/2020
786508		2	14/03/2020
786577		5	14/03/2020
786621		15	26/06/2020
786645		6	08/05/2020
786716		32	08/05/2020
786831		27	14/03/2020
786966		15	14/03/2020
786973		2	14/03/2020
787017		0	08/05/2020
787024		20	14/03/2020
787130		38	26/06/2020
787147		64	04/07/2020
787253		11	12/06/2020
787253UKR01		16	04/07/2020
787260		53	26/06/2020
791248		19	14/03/2020
792107	20691	14	12/06/2020
792219	20701	26	12/06/2020
792386	20721	27	04/07/2020
792425	2073	9	14/03/2020
792538		41	16/03/2020
792538UK		22	04/07/2020
792549		43	15/03/2020
792572		2	12/06/2020
792750		24	
792750UK		24	
793091		0	14/03/2020
793091D		0	04/07/2020
793168		11	14/03/2020
793258		25	08/05/2020
793258D		0	04/07/2020
793269		7	08/05/2020
793269D		0	04/07/2020
793301		79	14/03/2020
793371		45	14/03/2020
793407		37	04/07/2020
793412		6	14/03/2020
793429		7	08/05/2020
793523		46	26/06/2020
793523D		0	04/07/2020
793534		8	07/03/2020
793534D		1	04/07/2020
793635		35	26/06/2020
793635D		0	04/07/2020
793659		19	08/05/2020
793659D			04/07/2020
793746		2	14/03/2020
793746D			04/07/2020
793960		27	14/03/2020
793960D		0	04/07/2020
793960G		6	08/05/2020
793960GD		0	04/07/2020
794017		3	14/03/2020
794025		21	26/06/2020
794025D			04/07/2020
794172		15	24/04/2020
794218		16	16/03/2020
794368		8	18/03/2020
794485		103	04/07/2020
794496		12	
794528		76	
794539		11	
794691		0	14/03/2020
794691D		0	04/07/2020
810637		0	26/06/2020
810637D		1	04/07/2020
810871		20	14/03/2020
814516		91	
815470		47	04/07/2020
819374		22	04/07/2020
820318		17	16/03/2020
820426	2059	4	01/05/2020
820426	2060	8	14/03/2020
820613	2112		
820613	2113		
821437		36	28/02/2020
821629		10	16/03/2020
825306		65	26/06/2020
825306UK		65	
825306UKR01		8	
825473		39	30/06/2020
825473UK		39	
825473UKR01		17	04/07/2020
826198		30	15/05/2020
827494R01		16	
827523		21	14/03/2020
827635		4	14/03/2020
827635R01		3	04/07/2020
827635R03		7	
827635R04		7	04/07/2020
827746		22	24/04/2020
831622		19	14/03/2020
831635		4	14/03/2020
831940		0	14/03/2020
831963		49	29/05/2020
832128		9	24/04/2020
832139		7	24/04/2020
835244		49	04/07/2020
836104		49	14/03/2020
836104UK		49	
836104UKR01		8	04/07/2020
840842	2061	11	04/07/2020
842016		28	04/07/2020
842753		15	
847118		13	
847235		20	
847351		46	04/07/2020
847492		43	04/07/2020
851251		74	04/07/2020
851472		0	05/06/2020
851973		29	29/05/2020
852508		24	16/03/2020
853804		1	24/04/2020
854196N		8	14/03/2020
854275		0	31/05/2020
854275D		15	04/07/2020
854275N		0	17/03/2020
854321		16	
854321D		16	
854416			04/07/2020
854416D		0	04/07/2020
854416N		20	14/03/2020
854416ND		22	
854537D		0	04/07/2020
854537N		0	10/03/2020
854683		89	14/03/2020
860218		30	16/03/2020
860218R01		25	
860218R02		54	04/07/2020
860218R03		8	04/07/2020
860627		33	
860752	2083	5	04/07/2020
860953		35	14/03/2020
861298		0	24/04/2020
863624		3	
863952		83	14/03/2020
863964		3	29/05/2020
867012		25	14/03/2020
867123		13	14/03/2020
867234		27	26/06/2020
870951		26	04/07/2020
872258		12	
872469		10	01/05/2020
872469D			04/07/2020
872478D		2	
872593		9	14/03/2020
872611		36	14/03/2020
872712		26	14/03/2020
872729		16	04/07/2020
872853		32	04/07/2020
872853D		1	04/07/2020
872941		17	04/07/2020
872941D		1	04/07/2020
872956		9	04/07/2020
873079		1	05/06/2020
873079D			04/07/2020
874192		25	17/07/2020
874426		2	
876113		6	14/03/2020
876113D			04/07/2020
876124		2	01/05/2020
876124D		0	04/07/2020
876295R01		3	
876352		7	17/03/2020
876352D		1	04/07/2020
876352R01		28	
876360		4	14/03/2020
876360D			04/07/2020
876873	2071	14	16/03/2020
876873	2082	17	14/03/2020
876873	2084	17	14/03/2020
877019		5	04/07/2020
877342		1	
877503		3	
880138		0	24/04/2020
892519		2	
892519R01		20	04/07/2020
894190		14	
89431589	7443	18	14/03/2020
895260		7	
896306		58	04/07/2020
896412		62	04/07/2020
899925		28	15/05/2020
9001		65	
9004		82	
912064		20	04/07/2020
921688		0	24/04/2020
924071		1	
924713		62	
932401		7	
943501		26	04/07/2020
953271		28	15/05/2020
956082		34	26/06/2020
956235		4	
956241		69	04/07/2020
956384		53	04/07/2020
956450		39	04/07/2020
956518		20	
956522		19	
960243		20	24/04/2020
978153		30	14/03/2020
978245		69	04/07/2020
983162		29	17/07/2020
983174		0	17/07/2020
996426		19	04/07/2020
