idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
31047927;43722;Proyector Stam Faro Blanco interior negro GU10;25;2780;FARO;8421776168190;45,9;1
31051371;71295;Aplique Plim 1 Faro - Iluminación de exterior LED;25;5440;FARO;8421776169418;89,9;1
31051452;71296;Aplique Plim 2 Faro - Iluminación de exterior LED;25;5440;FARO;8421776169432;89,9;1
31051971;71297;Aplique Plim 3 Faro - Iluminación de exterior LED;25;5440;FARO;8421776169456;89,9;1
31053646;74139;Aplique Block Faro - Iluminacion de Exterior Led;0;4840;FARO;8421776168848;79,9;1
31053685;73260;Aplique Tarraco Faro. Iluminacion de Exterior;25;2520;FARO;8421776005532;41,6;1
31081907;74432+74428;Aplique Mistu Faro. Iluminacion de Exterior.;25;3860;FARO;;63,8;1
31081929;74432+74437;Aplique Moon Faro. Iluminacion de Exterior.;25;4350;FARO;;71,3;1
31081964;74432+74426;Aplique Muffin Faro. Iluminacion de Exterior.;25;4850;FARO;;79,6;1
31082256;70780;Aplique Toc Faro Blanco. Iluminacion de Exterior LED.;25;7750;FARO;8421776147775;127,8;1
31082490;70781;Aplique Toc Faro Negro. Iluminacion de Exterior LED.;25;7750;FARO;8421776147782;127,8;1
31082554;72082;Aplique Nine Faro Blanco. Iluminacion de Exterior LED.;25;4000;FARO;8421776168985;66,2;1
31082556;72083;Aplique Nine Faro Gris Oscuro. Iluminacion de Exterior LED.;25;4000;FARO;8421776169425;66,2;1
31082581;71273;Aplique Axel Faro Gris Oscuro. Iluminacion de Exterior LED.;25;4450;FARO;8421776166035;73;1
31082608;71272;Aplique Axel Faro Blanco. Iluminacion de Exterior LED.;25;4700;FARO;8421776166028;77,5;1
31250216;74450;Aplique Alp Faro. Iluminacion de Exterior LED.;30;6600;FARO;8421776082649;109,1;1
31250321;70262;Aplique Clauss Blanco Faro. Iluminacion de Exterior LED.;30;4600;FARO;8421776145009;75,9;1
31250363;71362L;Aplique Dragma Faro - Iluminacion de Exterior LED.;24;7400;FARO;8421776166288;122,3;1
31250446;71277;Aplique Takua Faro. Iluminacion de Exterior LED.;30;5650;FARO;8421776166905;93,6;1
31250469;70263;Aplique Clauss Gris Oscuro Faro. Iluminacion de Exterior LED.;30;4600;FARO;8421776145009;75,9;1
31250536;71276;Aplique Oval Faro. Iluminacion de Exterior LED.;30;5340;FARO;8421776166875;93,6;1
31250543;71269;Aplique Tane Faro. Iluminacion de Exterior LED.;30;4290;FARO;8421776063112;70,9;1
31250567;70811;Aplique Lace Faro. Iluminacion de Exterior LED.;30;5960;FARO;8421776063051;98,5;1
31250575;70828;Aplique Bruc Faro. Iluminacion de Exterior LED.;30;7650;FARO;8421776144996;126,3;1
31250624;70812;Aplique  Ling Gris Oscuro Faro - Iluminacion de Exterior LED.;30;5960;FARO;8421776063068;98,5;1
31250629;70813;Aplique  Ling Blanco Faro - Iluminacion de Exterior LED.;30;5960;FARO;8421776063082;98,5;1
31250636;70264;Aplique Log Faro. Iluminacion de Exterior LED.;30;5890;FARO;8421776145078;126,3;1
31250644;70634;Aplique Blind Gris Oscuro Faro - Iluminacion de Exterior LED.;30;6450;FARO;8421776067202;106,3;1
31250650;70267;Aplique Blind Blanco Faro - Iluminacion de Exterior LED.;30;6450;FARO;8421776165205;106,3;1
31250663;70268;Aplique Blind Marron Faro - Iluminacion de Exterior LED.;30;6450;FARO;8421776165205;106,3;1
31257669;70899;Aplique West Faro - Iluminacion de Exterior;30;3890;FARO;8421776011274;64,2;1
31257701;74432+74430;Aplique Blub's Faro - Iluminacion de Exterior;30;5200;FARO;;85,9;1
31257796;70802;Aplique Lacre Faro - Iluminacion de Exterior;30;3550;FARO;8421776708020;58,45;1
31419136;PAPA;BORRAR Colgante Bol Faro luz LED orientablen 45º;25;5660;FARO;8421776144507;93,4;1
31419206;29691;Lampara Colgante LE VITA Faro luz LED acabado oro;25;26100;FARO;8421776168039;425;1
31425173;29696;Lampara Colgante LE VITA Faro luz LED acabado negro;25;26100;FARO;8421776178878;425;1
31425275;29694;Colgante Le Vita Faro luz LED. 1 luz acabado oro o negro;20;20900;FARO;8421776168091;333;1
31425418;64099;Colgante Dolme Faro luz LED. 1 luz acabado negro o blanco;20;13900;FARO;8421776141766;220;1
