idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
27902140;74997;Sobremuro Wilma Faro - iluminacion exterior altura 27cm;25;4200;FARO;8421776033979;69,3;0
27902145;75003;Baliza Wilma Faro - iluminacion exterior altura 82cm;25;11490;FARO;8421776021761;189,8;0
27902149;73450;Sobremuro Verno Faro - iluminacion exterior altura 29cm;25;4170;FARO;8421776734500;68,9;0
27902155;73440;Baliza Verno Faro - iluminacion exterior altura 65cm;0;4860;FARO;8421776734401;80,2;0
27902159;73460;Baliza Verno Faro - iluminacion exterior altura 110cm;0;6400;FARO;8421776734609;105,7;0
27902202;70771;Sobremuro Mila Faro - Iluminacion de exterior LED - 70771;25;14650;FARO;8421776090217;242;1
27902209;70772;Sobremuro Nala Faro - iluminacion exterior altura 22cm;25;8460;FARO;8421776144392;139,8;0
27902403;72351;Baliza Roy Faro - Iluminacion de exterior altura 50cm.;25;4610;FARO;8421776116450;76,1;1
27902407;71206;Baliza Grow Faro - Baliza exterior luz LED altura 50cm.;25;7800;FARO;8421776089075;128,8;0
27902409;71207;Baliza Grow Faro - Baliza exterior luz LED altura 65cm.;25;8270;FARO;8421776089099;136,6;0
30286468;62099;Aplique Blome Faro blanco. Iluminacion LED;25;10890;FARO;8421776143968;179,9;0
30286615;62100;Aplique Blome Faro blanco. Iluminacion LED;25;10890;FARO;8421776143975;179,9;0
30286663;29980;Aplique Vesper Faro blanco - Pantalla textil Beige;25;4130;FARO;8421776060890;68,2;1
30293505;29981;Aplique Vesper Faro marron - Pantalla textil Beige;25;4130;FARO;8421776060906;68,2;1
30293508;29983;Aplique Vesper Faro marron - Pantalla textil Beige + lector;25;6040;FARO;8421776060920;99,7;1
30293513;29982;Aplique Vesper Faro blanco - Pantalla textil Beige + lector;0;6040;FARO;8421776060913;99,7;1
30293525;29936;Aplique Sweet Faro Niquel - Pantalla textil;25;4450;FARO;8421776082519;73,5;1
30293526;29952;Aplique Sweet Faro Blanco - Pantalla textil;25;4450;FARO;8421776049444;73,5;1
30293528;29953;Aplique Sweet Faro Negro - Pantalla textil;25;4450;FARO;8421776049437;73,5;1
30305249;29935;Aplique Sweet Faro Niquel con lector - Pantalla textil;25;6810;FARO;8421776082502;112,5;1
30305251;29950;Aplique Sweet Faro Blanco con lector - Pantalla textil;25;6810;FARO;8421776049413;112,5;1
30305255;29951;Aplique Sweet Faro Negro con lector - Pantalla textil;25;6810;FARO;8421776049420;112,5;1
30305274;68504;Aplique Moma Faro Cromo - Pantalla textil blanco;25;3590;FARO;8421776010642;59,2;1
30305277;68505;Aplique Moma Faro Cromo - Pantalla textil negra;25;3590;FARO;8421776010659;59,2;1
30305292;68506;Aplique Moma Faro Cromo lector - Pantalla textil Blanca;25;5150;FARO;8421776010666;85;1
30305293;68507;Aplique Moma Faro Cromo lector - Pantalla textil Negro;25;5150;FARO;8421776010673;85;1
30305408;64300;Aplique Hanna Faro Niquel lector - Pantalla textil Beige;25;6050;FARO;8421776170063;99,9;1
30330239;68532;Aplique Thana Faro - Pantalla textil;25;3140;FARO;8421776010956;51,8;1
30330257;28413;Aplique Handy Faro - Blanca Pantalla textil;0;4570;FARO;8421776090323;75,5;1
30330280;28415;Aplique Handy Faro - Lector derecho LED Pantalla textil;25;11220;FARO;8421776090330;185,45;1
30330296;28414;Aplique Handy Faro - Lector izquierdo LED Pantalla textil;25;11220;FARO;8421776090347;185,45;1
30330305;62705;Aplique Sahara Faro - Cromo pantalla lino;25;5750;FARO;8421776145283;95;1
30330704;62706;Aplique Sahara Faro - Cromo pantalla lino;25;5750;FARO;8421776145290;95;1
30330904;29340;Aplique Essential Faro Niquel - Pantalla textil blanco;25;4780;FARO;8421776113657;79;1
30331600;29341;Aplique Essential Faro Niquel - Lector LED Pantalla blanco;25;6050;FARO;8421776113664;99,9;1
30331848;29964;Aplique Mix Faro Blanco - Tulipa Metal;25;2980;FARO;8421776050198;49,2;1
30332479;29965;Aplique Mix Faro Negro - Tulipa Metal;25;2980;FARO;8421776050297;49,2;1
30332483;29962;Aplique Mix Faro Blanco - Lector LED Tulipa Metal;25;5610;FARO;8421776050181;92,6;1
30332498;68496;Aplique Rob Faro Marron - Lector LED Tulipa Policarbonato;25;8490;FARO;8421776120495;140,3;1
30332507;68498;Aplique Rob Faro niquel - Lector LED Tulipa Policarbonato;25;8100;FARO;8421776113510;133,8;1
30332510;01005;Aplique Nit Faro blanco - Base;25;4840;FARO;8421776116429;79,9;1
30332521;01006;Aplique Nit Faro negro - Base;25;4840;FARO;8421776116436;79,9;1
30336578;62128;Aplique Suau Faro LED - Para Empotrar en pared.;25;6000;FARO;8421776121461;107,8;1
30655642;43700;Empotrable de techo Troop Faro - 1 luz LED;25;1810;FARO;8421776166592;29,8;1
30655833;43701;Empotrable de techo Troop Faro - 3 luces LED;25;3530;FARO;8421776166608;58,2;1
30655835;43702;Empotrable de techo Troop Faro - 5 luces LED;25;4800;FARO;8421776166615;79,3;1
30655836;43703;Empotrable de techo Troop Faro - 10 luces LED;25;8350;FARO;8421776166660;137,9;1
30655837;43710;Empotrable Troop Faro - direccion luz Pared LED;25;5220;FARO;8421776166738;86,2;1
30655840;42921;Empotrable Koi Faro - Blanco luz LED;25;1850;FARO;8421776051355;30,5;1
30655847;42919;Empotrable Ebba Faro luz LED especial Baño IP44;25;2460;FARO;8421776065413;40,5;1
30655848;40118;Empotrable Hyde Faro orientable Redondo Blanco Ø 89mm;30;1090;FARO;8421776167889;17,9;1
30655849;65138;Empotrable Bol Faro luz LED orientablen 45º;25;5660;FARO;8421776144507;93,4;1
30655880;02090201;Empotrable Nusa Faro luz LED;25;2950;FARO;8421776072732;48,7;1
30655884;42928;Empotrable Son Faro luz LED Ø11cm;25;1610;FARO;8421776090637;26,5;1
30655886;42929;Empotrable Downlight Son Faro luz LED Ø22cm Calido;0;4510;FARO;8421776090644;74,5;1
