referencia;precio
XTSF302;5,38 
XTSF303;5,38 
XTSF41002;35,05 
XTSF41003;35,05 
XTSF42002;70,13 
XTSF42003;70,13 
6080;63,40 
6081;67,20 
6082;71,20 
6083;63,40 
6680;371,10 
6681;317,46 
6682;224,46 
6683;371,10 
6684;317,46 
6685;224,46 
5930;161,85 
7290;153,46 
7291;153,46 
6496;96,70 
7060;72,10 
7061;72,10 
7062;79,40 
7063;79,40 
7088;124,40 
C0081;33,60 
C0082;33,60 
6250;320,95 
6251;459,46 
6120;254,32 
6121;424,61 
6124;224,66 
6125;335,64 
6126;494,26 
6131;175,24 
6132;102,90 
6133;141,09 
6134;242,19 
6135;132,56 
6136;114,57 
6137;274,09 
6144;204,44 
6122;266,45 
6123;444,83 
6127;235,90 
6128;354,97 
6129;521,22 
6130;188,72 
6138;107,84 
6139;148,29 
6140;248,49 
6141;137,94 
6142;118,17 
6143;280,83 
6145;208,94 
6670;67,80 
6671;85,42 
C0085;60,00 
C0086;60,00 
C0087;60,00 
C0088;60,00 
C0160;6,80 
C0161;6,80 
C0162;6,80 
C0163;6,80 
C0164;6,80 
C0165;6,80 
6810;8,30 
6811;8,30 
6812;9,08 
6813;9,08 
7110;47,20 
7111;50,60 
5550;67,80 
5551;47,76 
5553;47,76 
6105;494,10 
6106;682,34 
6107;125,64 
6108;310,58 
6109;130,82 
6110;174,12 
4614;234,00 
4615;120,90 
4616;62,40 
4570;212,55 
4572;466,05 
4576;405,60 
4600;107,25 
4601;177,45 
4603;959,40 
4604;2.207,40 
4610;313,95 
4580;62,74 
4581;98,82 
4582;133,20 
5090;58,00 
5091;94,10 
5092;134,92 
0960;157,95 
0961;198,90 
0962;29,25 
0963;48,75 
0964;48,75 
0965;165,75 
0966;214,50 
0967;126,75 
0950;136,50 
0951;177,45 
0952;27,30 
0953;44,85 
0954;46,80 
0955;156,01 
0956;187,20 
0957;107,25 
1100;163,80 
1101;210,60 
1102;31,21 
1103;50,70 
1104;50,70 
1105;179,39 
1106;230,11 
1107;130,66 
0990;150,15 
0991;187,20 
0992;27,30 
0993;46,80 
0994;48,75 
0995;161,85 
0996;198,90 
0997;113,10 
1110;163,80 
1111;210,60 
1112;31,21 
1113;50,70 
1114;50,70 
1115;179,39 
1116;230,11 
1117;130,66 
0004023;150,15 
