Family|Reference|Descripition|UnitWeight| UnitLength|UnitHigh|UnitWidth|Dimiter| ExportHigh|ExportWidth|ExportLenght|ExportWeight|ExportVolume|IndividualBoxHigh|IndividualBoxWiidth|IndividualBoxLengh| IndividualBoxVolume|IndividualBoxWeight|IP|ElectricClass|BulbIncluded|BulbDescription|Driver/ballst/transformer_Included |Driver/Transformer/Ballast_Description|Material|Quantity|PVP|Barcode|CustumDutyCode
4         |43751               |STAN APLIQUE NEGRO 2xGU10                                                                           |,4000|60,000000|225,000000|72,000000|60,000000|260,000000|325,000000|400,000000|10,800000|,033800|245,000000|75,000000|75,000000|,001378|,540000|20                       |I   |0|2xGU10 MAX 8W LED                                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC TRANSPARENTE                                                     |Available|48,900000|8421776179721                 |9405109890          
4         |43752               |STAN EMPOTRABLE BLANCO 1xGU10                                                                       |,3000|60,000000|137,000000|60,000000|60,000000|370,000000|210,000000|600,000000|,000000|,046620|175,000000|95,000000|115,000000|,001912|,000000|20                       |I   |0|1xGU10 MAX 8W LED                                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC TRANSPARENTE                                                     |Available|37,200000|8421776179752                 |9405109890          
4         |43753               |STAN EMPOTRABLE NEGRO 1xGU10                                                                        |,3000|60,000000|137,000000|60,000000|60,000000|370,000000|210,000000|600,000000|,000000|,046620|175,000000|95,000000|115,000000|,001912|,000000|20                       |I   |0|1xGU10 MAX 8W LED                                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC TRANSPARENTE                                                     |Available|37,200000|8421776179769                 |9405109890          
4         |43754               |STAN COLGANTE BLANCO 1xGU10                                                                         |,7600|60,000000|355,000000|60,000000|60,000000|420,000000|450,000000|450,000000|,000000|,085050|405,000000|85,000000|85,000000|,002926|,000000|20                       |I   |0|1xGU10 MAX 8W LED                                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC TRANSPARENTE                                                     |Available|78,900000|8421776179738                 |9405109890          
4         |43755               |STAN COLGANTE NEGRO 1xGU10                                                                          |,7600|60,000000|355,000000|60,000000|60,000000|420,000000|450,000000|450,000000|,000000|,085050|405,000000|85,000000|85,000000|,002926|,000000|20                       |I   |0|1xGU10 MAX 8W LED                                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC TRANSPARENTE                                                     |Available|78,900000|8421776179745                 |9405109890          
4         |43900               |WABI EMPOTRABLE LED 10W 1800-3200K DIMMABLE CCT                                                     |,0000|,000000|,000000|,000000|75,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|20                       |III |0|250mA LED 10W 1800-3200K DIMMABLE 600Lm 25000h 60º ANGULO                                           |0||CUERPO DE ALUMINIO                                                                                  |Not Available|29,900000|8421776186422                 |9405109890          
4         |40994               |LOKE LECTOR CROMO LED 3W 3000k                                                                      |,4000|80,000000|80,000000|419,000000|80,000000|410,000000|300,000000|380,000000|9,600000|,035616|175,000000|212,000000|40,000000|,001484|,400000|20                       |II  |1|HIGH POWER LED 3W 3000K 150Lm CRI>a80                                                               |1|DRIVER                                                                                              |CUERPO DE ALUMINIO + SILICONA                                                                       |Not Available|41,100000|8421776058422                 |9405109890          
4         |40996               |LOKE-3 EMPOTRABLE CROMO LED 3W 3000K                                                                |,4000|80,000000|80,000000|320,000000|30,000000|410,000000|300,000000|380,000000|9,600000|,065696|175,000000|158,000000|99,000000|,002737|,400000|20                       |II  |1|LED 3W 3000K 150Lm 35° CRI>80                                                                       |1|100-240V driver                                                                                     |CUERPO DE ALUMINIO LENTE CRISTAL                                                                    |Available|41,100000|8421776076297                 |9405109890          
4         |41019               |LOKE LECTOR BLANCO LED 3W 3000K                                                                     |,3000|60,000000|200,000000|200,000000|,000000|410,000000|300,000000|380,000000|7,200000|,007862|39,000000|210,000000|40,000000|,000328|,300000|20                       |II  |1|HIGH POWER LED 3W 3000K 150Lm CRI>80                                                                |1|DRIVER IN                                                                                           |CUERPO DE ALUMINIO + SILICONA                                                                       |Available|41,100000|8421776084421                 |9405109890          
4         |41020               |LOKE LECTOR NEGRO LED 3W 3000K                                                                      |,3000|80,000000|200,000000|200,000000|,000000|410,000000|300,000000|380,000000|9,000000|,046740|39,000000|210,000000|40,000000|,000328|,300000|20                       |II  |1|HIGH POWER LED 3W 3000K 150Lm CRI>80                                                                |1|DRIVER IN                                                                                           |CUERPO DE ALUMINIO + SILICONA                                                                       |Not Available|41,100000|8421776084438                 |9405109890          
4         |41023               |SAMI APLIQUE BLANCO LED 3W 2700K                                                                    |,4000|30,000000|250,000000|300,000000|,000000|460,000000|340,000000|4400,000000|6,400000|,018216|90,000000|110,000000|115,000000|,001485|,400000|20                       |II  |1|HIGH POWER LED 3W 2700K 120Lm CRI>80                                                                |1||CUERPO DE ALUMINIO + SILICONA                                                                       |Available|54,200000|8421776084469                 |9405109890          
4         |41025N              |JULIET LECTOR CON USB CROMO LED 3W 3000K                                                            |,5000|88,000000|145,000000|35,000000|,000000|410,000000|300,000000|380,000000|12,000000|,046740|90,000000|110,000000|155,000000|,001535|,500000|20                       |II  |1|HIGH POWER LED 3W 3000K 150Lm                                                                       |1|DRIVER IN                                                                                           |CUERPO DE METAL  Y ALUMINIO                                                                         |Available|69,900000|8421776177758                 |9405109890          
4         |41026               |LESER LECTOR NIQUEL SATINADO 5W 3000K                                                               |,5100|60,000000|120,000000|460,000000|,000000|,000000|,000000|,000000|,000000|,000000|235,000000|65,000000|170,000000|,002597|,000000|20                       |II  |1|LED 5W 3000K 300Lm CRI>80 36°                                                                       |1|DRIVER IN                                                                                           |CUERPO DE ALUMINIO+SILICONA Y DIFUSOR DE PMMA                                                       |Available|77,900000|8421776147386                 |9405109890          
