CODE;DESCRIPTION;EAN;STOCK;ETA;ESTIMATED STOCK;ERROR;
072232;VT 53CM DC BLANCO 24W DIM CCT NESS;8426107017130;46;;;;
072236;VT 117 DC 30W 4000K BLANCO ABS  FAIRLANE;8426107794574;150;;;;
072237;VT 137 DC 18W 4000K ABS GRIS FIERA;8426107794567;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072238;VT 132 1L AC MARRON WG + HY MD RACK;8426107654946;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072240;VT 132 AC GRAFITO OLYMPIA;8426107654977;87;;;;
072241;VT AC 105CM WHITE WG/HAYA TULIPAS RUBBY;8426107654960;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072242;VT AC 105CM  NK GR/BC TULIPAS EMERAL;8426107654953;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072243;VT 142 DC ABS BLANCO 18W 4000K ZAFIRO;8426107013866;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072247;VT 142 DC ABS BLANCO 18W 4000K DIAMOND;8426107362360;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072248;VT 142 DC ABS DORADO18W 4000K DIAMOND;8426107362377;29;;;;
072249;VT 142 DC ABS NEGRO 18W 4000K DIAMOND;8426107362384;100;;;;
072252;VT 127 AC 18W 4000K MARRON MD CORCEGA;8426107362353;150;;;;
072253;VT 137 DC 18W 3CCT NICKEL+ABS NERHEA;8426107154705;150;;;;
072254;VT 137 DC 18W 4000K ABS BLANCO FIERA;8426107154774;150;;;;
072255;VT 92 DC 24W CCT ABS CRIXUS;8426107154743;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072257;VT 107 AC 2E27 BLANCO ABS LLES;8426107784223;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072258;VT 122 AC 2L BLANCO+MDF BL/OSC CROSSb;8426107784216;100;;;;
072263;VT 105 2L AC NICKEL+PLY MD ACHILIA;8426107784346;31;;;;
072316;VT 155 DC MADERA BROMIEN;8426107467850;100;;;;
072643;VT 38 DC ORIENTABLE BLANCO HANDAIR;8426107654984;100;;;;
072645;VT 92 AC 3L BLANCO + BL/MTC MDF TONES;8426107105479;100;;;;
072805;VT 110 AC NICKEL 1E27 IZU;8426107546692;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072814;VT 147 DC 18W CCT BL+ABS RAHUb;8426107852588;6;;;;
072816;VT 132 AC BLANCO SKUAb;8426107456786;100;;;;
072817;VT 122 AC 2L BLANCO PLY BL/OSC BALOOb;8426107564795;99;;;;
072818;VT 122 AC 2L NICKEL PLY GR/CLR BALOOnk;8426107487537;150;;;;
072819;VT 122 AC 2L MARRON PLY OS/CLR BALOOm;8426107487544;100;;;;
072820;VT 122 2L BLANCO Y MULT PLY BALOOc;8426107487551;35;;;;
072822;VT 132 AC NICKEL SKUAnk;8426107456779;100;;;;
072824;VT 112 DC 18W NK WHITE Y CCT CIRROS;8426107777775;81;;;;
072825;VT 107 DC 18W  BL 8CCT HANNA;8426107777782;0;100;2020-06-20 (yyyy-mm-dd);;
072826;VT 122 AC BLANCO+PLY ANKE;8426107015297;0;150;2020-05-30 (yyyy-mm-dd);;
072828;VT 122 AC 2L BLANCO PLY BL/OSC NAOb;8426107458742;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072829;VT 122 AC NICKEL PLY GR/CLR NAOnk;8426107487520;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072830;VT 98 AC NK GR LED 18W CCT ATUAIRE;8426107536525;100;;;;
072831;VT 76CM DC NEGRO 36W DIM 8CCT RUBIKn NEW;8426107122155;27;;;;
075008;VT 76 AC BLANCO LED 15W 840 RAINBOW;8426107261311;100;;;;
075015;VT 122 AC 2L MARRON+PLY LAZARUS;8426107675019;150;;;;
075026;VT 132 AC 2L 5P MARRON TIFFANY DALLAS;8426107875020;150;;;;
075057;VT 132 DC 22W 3CCT BL ABS BL PARK;8426107935380;150;;;;
075061;VT 132 AC 18W CCT BLANCO GALILEOb;8426107931610;6;;;;
075063;VT 132 DC AZUL 18W CCT BERNATa;8426107931627;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075064;VT 132 DC BLANCO 18W CCT BERNATb;8426107931634;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075066;VT 132 AC 18W CCT BLANCO MARCONY;8426107931641;150;;;;
075080;VT 132 DC 20W 3CCT BL ABS ROC IOT;8426107935281;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
075085;VT 132 DC MARRON 18W CCT LOWA;8426107935397;100;;;;
075090;-VT 48" LED 20W NIQUEL RM INCL. GALAXIE;8426107009647;26;;;;
075091;VT 107 AC 36W 3CCT BL PC T PRETORIAN;8426107075093;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
075092;VT 60 DC 34W CCT BL HELIX;8426101234564;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
075094;VT 60 DC 34W CCT BL RICH;8426107016980;0;80;;No info / No hay informacion de fecha ni cantidad estimada;
075099;VT 132 AC LED CCT NICKEL BALOOn+;8426107935496;100;;;;
075106;VT 55CM DC 3CCT BL ABS 24W ASSEN;8426107016775;100;;;;
075118;VT 122  BLANCO 3P CONTROL PARED METEORb;8426107105608;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075120;-VT 132 AC IP23 BLANCO HOOK;8426107075123;100;;;;
075128;DVT 132 AC 4GU10 CR WH SPIKE;8426107654922;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075148;VT 122 AC 2L BLANCO+PLY FENIX;8426107375148;33;;;;
075151;VT 122 NICKEL 3P CONTROL PARED METEORnk;8426107785589;150;;;;
075153;VT 132 DC BLANCO+ABS VADIS;8426107154798;150;;;;
075154;-VT 122 LED BLANCO + BLANCO MDF DEVILLE;8426107075185;100;;;;
075155;VT 76 AC 1E27 BLANCO/PINO  RAINBOW;8426107365217;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075157;VT 76 AC 1E27 BL AZ/RS/BL LOLLIPOP;8426107016973;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075165;VT 76 AC 1E27 COLORES BRILLO/PAS RAINBOW;8426107365224;150;;;;
075256;VT 132 AC 2E27 NIQUEL ABS TRANS ASPENt;8426107154712;77;;;;
075262;VT 60 AC 3L MARRON+METAL MD FLORA;8426107784353;60;;;;
075264;VT 132 DC 18W 4000K GRIS+ABS GADES;8426107154767;100;;;;
075266;VT 122 AC 2L NICKEL+MDF GR/CLAR CROSSnk;8426107784315;150;;;;
075268;VT 122 AC 2L MARRON PALAS MDF CROSSm;8426107784322;150;;;;
075300;VT132 DC 18W 3000K MARR+MADERA MAVERICK;8426107009852;93;;;;
075306;VT 132 AC 18W CCT MARRON GALILEOm;8426107568526;81;;;;
075311;VT 132 AC GRIS 24W CCT ADJ JALON;8426107935199;84;;;;
075312;VT 76CM DC BLANCO 36W DIM 8CCT RUBIK NEW;8426107122148;0;40;;No info / No hay informacion de fecha ni cantidad estimada;
075313;VT 107 AC GRIS CCT NEWTON;8426107935441;100;;;;
075315;VT 105 2L BLANCO Y MULT MD BANDIT;8426107548733;150;;;;
075316;VT 132 DC 18W 3CCT BL ABS BL DIEHL;8426107935250;150;;;;
075318;VT 132 AC BLANCO 18W CCT BALOOb+;8426107935434;100;;;;
075325;VT 132 DC 24W MADERA CCT SARAH;8426107454515;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075328;VT 132 DC 31W 3CCT BL ABS BL DINAN IOT;8426107016850;40;;;;
075332;VT 132 AC 24W 3CCT N MD MD  LESNA;8426107016874;0;70;2020-03-30 (yyyy-mm-dd);;
075345;VT 132 DC 24W 3CCT N PLY N MAKI;8426107016843;150;;;;
075349;VT  107 DC 3CCT 36W NK ALTAVOZ JAIR;8426107016751;150;;;;
075356;VT 127 DC 20W 3CCT BL MD MD CLOE;8426107016782;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075357;VT 73 DC 18W 3CCT MD ABS MD BEACH;8426107016720;0;150;2020-06-20 (yyyy-mm-dd);;
075362;VT 132 DC 18W 3CCT NK ABS PL BALI;8426107016898;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075371;VT 132 DC 18W CCT BLANCO LIMBO;8426107559982;100;;;;
075372;VT 137 DC 18W 4000K ABS GRIS NOAH;8426107559975;100;;;;
075373;VT 132 DC 24W MADERA CCT VERA;8426107559968;150;;;;
075408;VT 147 DC 18W CCT MARRON+ABS  RAHUm;8426107931740;100;;;;
075438;VT 107 AC BL 4 PALAS 3 TULIPAS HORNET;8426107754387;150;;;;
075439;VT 107  AC NIQUEL 4 PALAS 3 TUL HORNET;8426107775436;57;;;;
075660;VT 107" 3L NIQUEL WESTLAND;8426107005090;6;;;;
075664;VT 142 DC 18W 4000K NICKEL+ABS WALAY;8426107784285;6;;;;
075677;VT 122 AC 2E14 SPRAY+MADERA MD ISLET;8426107784339;150;;;;
075685;VT 117 DC24W 3CCT CV ABS MR RODAN M;8426107784230;0;150;2020-03-30 (yyyy-mm-dd);;
075686;VT 122CM AC 2XE27 NG PLY ORION;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
075687;VT 122CM AC 2XE27 BL PLY PLUMA;8426102604939;0;150;2020-04-10 (yyyy-mm-dd);;
078096;MANDO A DISTANCIA ESTANDAR;8426107078096;94;;;;
078099;KIT RECEPTOR + CONTROL REMOTO (AC);8426107078099;32;;;;
078100;MANDO A DISTANCIA AC;8426107336637;150;;;;
078100F;MANDO A DISTANCIA FLORA 75262;8426107015006;0;;;No info / No hay informacion de fecha ni cantidad estimada;
078127;MANDO AC 2019;8426107958648;150;;;;
078128;MANDO DC 2019;8426107958631;6;;;;
078213;MANDO A DISTANCIA 072247/48/49 ANTIGUO;8426107078213;21;;;;
078800;-VT CONTROL DE PARED;4895105602121;0;;;No info / No hay informacion de fecha ni cantidad estimada;
082100;Expositor Zillux 400x350;;81;;;;
100715;-CRISTAL CUAD. 40CM WORLD;8426107123008;150;;;;
100717;-CRISTAL RED. D40CM MONUMENTOS CENTRO;8426107125903;20;;;;
100718;-CRISTAL RED. D40CM GATOS;8426107263544;100;;;;
100719;-CRISTAL RED. D40CM BUHOS;8426107252319;18;;;;
100720;-CRISTAL CUAD. 40CM DREAMS;8426107234506;150;;;;
100730;-CRISTAL CUAD. 40CM HAPPYNESS;8426107009159;150;;;;
100732;-CRISTAL CUAD. 40CM FIRST KISS;8426107450074;150;;;;
100734;-TIRA LED 5m IP20 14.4W12V 4000º 5050;8426107362544;100;;;;
100740;-CRISTAL RED. D40CM MONUMENTOS;8426107432513;150;;;;
100742;-CRISTAL CUAD. 40CM TOURIST;8426107542601;150;;;;
100750;-PLAFON 30W BLANCO 4000K CARDIAN;8426107655172;95;;;;
100752;DL COB RED THOR 40-3650-840;8426107654892;0;100;2020-06-05 (yyyy-mm-dd);;
100753;DL COB RED THOR 60-5450-840;8426107012463;150;;;;
100757;CAMPANA 100W 12000LU 90º 4000K BUILT;8426107932648;59;;;;
100759;DL COB RED THOR 60-5400-830;8426107654878;150;;;;
100760;DL COB RED THOR 40-3500-830;8426107654885;78;;;;
100763;APLIQUE LED GRASS OV IP54 18-1300-840;8426107932679;150;;;;
100764;PLAFON IP44 RED CANADIAN 24-2500-840;8426107523464;150;;;;
100765;PLAFON IP44 CUA CANADIAN 24-2500-840;8426107523785;0;150;2020-06-21 (yyyy-mm-dd);;
100766;EMPOTRABLE 10CM 9W 4000;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100769;-PLAFON SUPERFINO 22CM 4000K CIFO;8426107769107;12;;;;
100770;PLAFON CIFO CUA PIR 20W WH 1500LM 840;8426107770103;100;;;;
100772;BARRA SUPERFICIE LED CON TOUCH 30CM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100773;BARRA SUPERFICIE LED CON TOUCH 60CM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100774;BARRA SUPERFICIE LED CON TOUCH 95CM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100775;UNDERCABINET CON SENSOR;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100779;UNDERCABINET REDONDO;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100782;-APLIQUE LED COB 6W ROWLEY;8426107109149;73;;;;
100783;-APLIQUE COB ROWLEY 9W;8426107109156;72;;;;
100795;WALL WASHER IP66 60CM 18W 927 24V PENN;8427107679670;47;;;;
100800;-COBFIX SMALL SQ AL 9W-550-845-36º;8426107004635;100;;;;
100801;-COBFIX LARGE RD BL 9W-450-827-60º;8426107074850;93;;;;
100802;-COBFIX LARGE RD AL 9W-450-827-36º;8426107074867;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100805;PLAFON LED SURF RED WH 18-1500-840;8426107004482;150;;;;
100806;PLAFON LED SURF CUA WH 18-1500-840;8426107004499;150;;;;
100807;PLAFON LED SURF RED WH 12-910-840;8426107004505;150;;;;
100808;PLAFON LED SURF CUA WH 12-910-840;8426107004512;150;;;;
100809;PLAFON LED SURF RED WH 6-450-840;8426107004529;150;;;;
100810;PLAFON LED SURF CUA WH 6-450-840;8426107004536;150;;;;
100811;-EMPOTRABLE 10W REDONDO 4000º ANTARES;8426107004543;46;;;;
100812;-COBFIX SMALL RD BL 9W-550-845-36º;8426107004598;150;;;;
100814;-COBFIX RD AL L 9W-550-845-36º;8426107004611;6;;;;
100815;-COBFIX LARGE RD BL 9W-550-845-36º;8426107004628;6;;;;
100816;-COBFIX LARGE SQ AL 9W-550-845-36º;8426107004642;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100817;-COBFIX LARGE SQ BL 9W-550-845-36º;8426107004659;100;;;;
10082;CONECTOR HEMBRA IP66 RGB 0.5M;8426107568953;100;;;;
100820;-EMPOTRABLE 20W REDONDO 4000º ANTARES;8426107004550;91;;;;
100821;EMP LED HOLE RED NK 18-1425-827;8426107074898;150;;;;
100822;EMP LED HOLE RED NK 18-1500-840;8426107045782;150;;;;
100823;EMP LED HOLE RED NK 18-1625-855;8426107045799;150;;;;
100824;PLAFON LED SURF CUA WH 30-2400-840;8426107012548;150;;;;
100825;PLAFON LED SURF RED WH 6-430-827;8426107060013;100;;;;
100826;PLAFON LED SURF RED WH 12-865-827;8426107060020;150;;;;
100827;PLAFON LED SURF RED WH 18-1425-827;8426107060037;150;;;;
100832;PANTALLA 1LED 34W DIM 60X60 4000K PEAK;8426107654816;150;;;;
100833;-COBFIX SMALL SQ BL 9W-550-845-36º;8426107004604;150;;;;
100834;PANTALLA 2LED 36W DIM 60X60 4000K PEAK;8426107654823;150;;;;
100836;PANTALLA LED 34W DIM 120x30 4000 PEAK;8426107654830;150;;;;
100840D;-EMPOTRABLE 36W COBPRIME ROUND 3000º;8426107310026;100;;;;
100841;-EMPOTRABLE 32W COBPRIME SQUARE 3000º;8426107110848;31;;;;
100843;-EMPOTRABLE 24W COBPRIME ROUND 3000º;8426107220844;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100846;PANEL PLATE UGR 19 40-3200-840;8426107852113;0;150;2020-06-05 (yyyy-mm-dd);;
100846R;PANEL 40W 3200LU 840 UGR 19 PLATE;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
10085;TAPON PARA CONECTOR HEMBRA RGB;8426107568960;150;;;;
100851;APLIQUE FLEXIBLE LED 3W BOOK CROMO;8426107106285;150;;;;
100852;PLAFON LED SURF RED NK 6-430-827;8426107359728;150;;;;
100854;PLAFON LED SURF RED NK 12-865-827;8426107712349;150;;;;
100856;-EMPOTRABLE COBDOWN ROUND 3000º 10W;8426107111104;85;;;;
100857;-EMPOTRABLE COBDOWN ROUND 4000º 10W;8426107111128;100;;;;
100862;-COBDOWN ROUND 20W 830;8426107109194;58;;;;
100864;-EMPOTRABLE 15W COBPRIME ROUND 4000º;8426107109002;30;;;;
100867;-EMPOTRABLE COBPRIME ROUND 4000º 24W;8426107111029;100;;;;
100868;-EMPOTRABLE COBPRIME SQUARE 3000º 24W;8426107111036;24;;;;
100869;-EMPOTRABLE 24W COBPRIME SQUARE 4000º;8426107111067;100;;;;
100870;-EMPOTRABLE 36W COBPRIME ROUND 4000º;8426107111074;47;;;;
100871;-EMPOTRABLE 36W COBPRIME SQUARE 4000º;8426107111081;40;;;;
100874;-COBFIX LARGE RD BL 9W-450-827-36º;8426107107688;70;;;;
100878;-EMPOTRABLE 9W COBFIX SQUAR 4500º ALUMIN;8426107107732;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100887;-EMPOTRABLE COBFIX PLUS ROUND 9W IP44;8426107110077;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100892;-COBFIX SMALL SQ BL 9W-450-827-36º;8426107107855;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100894;PLAFON LED SURF RED NK 18-1425-827;8426107762535;150;;;;
100895;PLAFON LED SURF CUA NK 6-430-827;8426107779748;150;;;;
100896;PLAFON LED SURF CUA NK 12-865-827;8426107782342;150;;;;
100897;PLAFON LED SURF CUA NK 18-1425-827;8426107782533;150;;;;
100898;PLAFON SURF RED NK 6-450-840;8426107792358;150;;;;
100899;PLAFON LED SURF RED NK 12-910-840;8426107852175;150;;;;
100901;-PLAFON SLIMDOWN ROUND 11W 3000º BLANCO;8426107111180;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100911;-PLAFON SLIMDOWN SQUARE 22W 3000º BLANCO;8426107139115;40;;;;
100912;PLAFON LED SURF RED WH 18-1625-855;8426107004888;150;;;;
100914;-PLAFON 18W NK CUA 1385LU 2700K SURF;8426107004895;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100927;-PLAFON 18W NK RED 1385LU 2700K SURF;8426107004901;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100928;-PANEL EMP 18W RED NK 1385K 2700K LENECO;8426107005335;27;;;;
100930;-TIRA LED 5m IP65 4.8W12V 2700º 3528;8426107300010;12;;;;
100934;-TIRA LED 5m IP65 14.4W12V 4000º 5050;8426107300041;84;;;;
100936;-TIRA LED 5m IP65 4.8W/m 24V 827;8426107300102;28;;;;
100938;-TIRA LED 5m IP65 7.2W12V RGB 5050;8426107851000;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100939;-TIRA LED 5m IP65 14.4W/m 24V 827;8426107300126;100;;;;
100941;-TIRA LED 5m IP65 14.4W/m 24V RGB;8426107300140;6;;;;
100943;PLAFON LED SURF CUA WH 18-1425-827;8426107004352;150;;;;
100945;PLAFON LED SURF CUA WH 6-430-827;8426107010810;150;;;;
100947;PLAFON 12W BL RED 870LU 2700K SURF;8426107005250;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100948;PLAFON LED SURF CUA WH 12-865-827;8426107725349;150;;;;
100950;DOTFIX MICRO SQ 3W 830;8426107110794;150;;;;
100951;DOTFIX MICRO RD 3W 830;8426107109514;150;;;;
100952;DOTFIX MINI SQ 3W 830;8426107110091;150;;;;
100953;DOTFIX MINI SQ 3W 840;8426107110022;150;;;;
100954;DOTFIX MINI RD 3W 830;8426107110053;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100955;DOTFIX MINI RD 3W 840;8426107110107;12;;;;
100957;-SPOT LIGHT ASCOT SQUARE 12W 38º;8426107110305;48;;;;
100958;-SPOT LIGHT ASCOT SQUARE 12W 60º;8426107110404;41;;;;
100960;-SPOT LIGHT COB ASCOT ROUND 15W 60º;8426107110602;62;;;;
100962;-APLIQUE COBMAYDAN 7W;8426107110800;150;;;;
100963;-APLIQUE ROWLY 5W*2;8426107110909;150;;;;
100968;-EMPOTRABLE LED COB 22W TWICE;8426107011299;48;;;;
100970;-DOWNLIGHT COBDOWN SQUARE 15W 4000K;8426107057112;72;;;;
100974;-WALL WASHER ASTON MEDIUM 3.5W;8426107004666;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100976;-DOWNLIGHT COBDOWN SQUARE 15W 3000K;8426107004246;42;;;;
100978;-TIRA LED 5m IP20 4.8W/m 24V 840;8426107789549;25;;;;
100979;-TIRA LED 5m IP20 14.4W/m 24V 827;8426107789532;12;;;;
100980;-TIRA LED 5m IP20 14.4W/m 24V 840;8426107789518;75;;;;
100986;-TIRAFLEX IP20 12V 14.4W/M 2700º;8426107789501;6;;;;
100995;-COBFIX SMALL SQ AL 9W-450-827-36º;8426107356321;0;;;No info / No hay informacion de fecha ni cantidad estimada;
100997;-EMPOTR 9W COBFIX ANGLE RED 4000K;8426107813312;29;;;;
101004;-COBDOWN SQUARE 30W 4000º;8426107005465;11;;;;
101008;-COBRING MINI ROUND 9W 3000K;8426107005632;34;;;;
101009;COBRING MINI ROUND 9W 4000º;8426107005649;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101016;-COBRING SQUARE 7W 4000º;8426107005694;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101018;-APLIQUE LED COB 6W PLANE BLANCO;8426107005717;65;;;;
101022;-PLAFON 18W SENSOR OND RED 1440LU 4000K;8426107005755;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101026;T5 LINE 8W 800LM 60CM 840;8426107854216;66;;;;
101027;PLAFON LED SURF CUA WH 6-470-855;8426107006899;150;;;;
101028;PLAFON LED SURF CUA WH 18-1625-855;8426107006905;150;;;;
101029;PLAFON LED SURF RED WH 6W 4-470-855;8426107006912;150;;;;
10103;-CONEXION PARA LINEAL LED;8426107251039;100;;;;
101030;PLAFON LED SURF CUA WH 12-955-855;8426107006929;100;;;;
101031;PLAFON LED SURF RED WH 12-955-855;8426107005786;100;;;;
101032;T5 LINE 4W 450LM 30CM 840;8426107005793;44;;;;
101034;T5 LINE 12W 1300LM 90CM 840;8426107005830;150;;;;
101035;-T5 LINE 4W 0.3M 3000K;8426107554697;150;;;;
101036;-T5 LINE 8W 3000K;8426107554680;150;;;;
101037;-T5 LINE 10W 3000K;8426107554673;150;;;;
101045;PLAFONLED SENSOR SQUARE 18W;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101046;-PLAFON 6W NK CUA 420LU 2700K SURF;8426107007810;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101047;-EMPOTR 13W COBFIX ANGLE RED BL 3000K;8426107010483;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101054;PLAFON LED SURF RED NK 30-2400-840;8426107154156;18;;;;
101056;PANEL 60X60 RGB 36W PLATERGB;8426107963239;150;;;;
101060;PANEL EMP 6W GL RED 390LU 4000K HOLEGLAS;8426107741257;150;;;;
101061;PANEL EMP 12W GLRED 890LU 4000K HOLEGLAS;8426107741240;150;;;;
101062;PANEL EMP 18W RED 1600LU 4000K HOLEGLAS;8426107741233;150;;;;
101063;-PANEL EMP 18W GL RED 1600lu 4000K PQ LN;8426107006561;17;;;;
101064;PLAFON LED SURF RED NK 18-1500-840;8426107852182;150;;;;
101065;PLAFON LED SURF CUA NK 6-450-840;8426107852236;150;;;;
101066;PLAFON LED SURF CUA NK 12-910-840;8426107852311;150;;;;
101067;PLAFON LED SURF CUA NK 18-1500-840;8426107852328;150;;;;
101068;PLAFON LED SURF RED NK 6-470-855;8426107258335;150;;;;
101069;PLAFON LED SURF RED NK 12-955-855;8426107258342;150;;;;
101070;PLAFON LED SURF RED NK 18-1625-855;8426107258359;150;;;;
101071;PLAFON LED SURF CUA NK 6-470-855;8426107258366;150;;;;
101072;PLAFON LED SURF CUA NK 12-955-855;8426107258373;66;;;;
101073;PLAFON LED SURF CUA NK 18-1625-855;8426107258380;150;;;;
101074;PLAFON LED SURF CUA NK 30-2400-840;8426107258397;150;;;;
101082;-SEMIPLAFON CUA 24W LUZ LATERAL 4000º;8426107852953;29;;;;
101083;-DONWLIGHT 20W NK 4000K 1800LU COBDOWN;8426107359759;26;;;;
101085;-EMPOTRABLE MINI ROUND 9W 4000 DIMABLE;8426107963871;82;;;;
101086;-EMPOTRABLE MINI ROUND 9W 5500 DIMABLE;8426107963888;100;;;;
101088;-PLAFON 12W NK CUA 870LU 2700K SURF;8426107007667;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101090;PLAFON 12W NK RED 870LU 2700K SURF;8426107007605;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101096;-PLAFON 6W BL CUA 480LU 5500K LENECO;8426107007681;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101147;EMP YESO CUA GU10 FRONT;8426107655264;80;;;;
101149;DL SMD RED 8" 25W 840 DIM BUGY;8426107012326;150;;;;
101151;EMP YESO RED GU10 FRONT;8426107655271;150;;;;
101153;EMP YESO RECT 2 GU10 FRONT;8426107655288;150;;;;
101156;EMP YESO CUA IND GU10 FRONT;8426107655295;100;;;;
101172;DL SMD RED 8" 25W 830 DIM BUGY;8426107655127;150;;;;
101173;DL SMD RED 6" 20W 830 DIM BUGY;8426107655134;150;;;;
101174;DL SMD RED 6" 20W 840 DIM BUGY;8426107655141;150;;;;
101175;DL SMD RED 4" 15W 830 DIM BUGY;8426107655158;150;;;;
101176;DL SMD RED 4" 15W 840 DIM BUGY;8426107655165;150;;;;
101178;ARO BLANCO RED 107 C80 SAND;8426107655226;150;;;;
101179;ARO NICKEL RED 107 C80 SAND;8426107655233;150;;;;
101180;ARO BLANCO CUA 83X83 C76 SAND;8426107655240;150;;;;
101181;ARO NICKEL CUA 83X83 C76 SAND;8426107655257;150;;;;
101182;CAMPANA 150W 20050lu 90º 4000K BUILT;8426107932631;100;;;;
101183;APLIQUE LED GRASS RD IP54 18-1300-840;8426107932686;150;;;;
101185;CAMPANA 150W 19500lu 4000K KIT EMERG.;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101190;PLAF 45W BL 50CM RED MD CCT DIM COLOSSAL;8426107852366;150;;;;
1011904K;PLAFON LED RED 50cm 840 (101190+81569);8426107017109;26;;;;
101191;PLAF 45W BL 50CM CUA MD CCT/DIM COLOSSAL;8426107852359;150;;;;
1011914K;PLAFON LED RED 50x50 840 (101191+81569);8426107017116;30;;;;
101192;PLAFON 45W BL 120X30 MD CCT/DIM COLOSSAL;8426107852342;150;;;;
101194;PLF LED OUTDOOR IP44 RED ANT 18-1500-840;8426107009470;150;;;;
101195;PANEL 10W 220V CONECTABLE 300MM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101196;PANEL 20W 220V CONECTABLE 600MM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101197;PANEL 30W 220V CONECTABLE 900MM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101198;PANEL 220V CONECTABLE 1200MM;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101199;EMP. 7W 96x50 IP44 CCT ADJ CRIE;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101210;PLAFON 48W CCT DIM 53 CM DW360;8426107211101;150;;;;
101211;PLAFON 36W CCT DIM 43 CM DW360;8426107211118;150;;;;
101212;PLAFON 24W CCT DIN 33 CM DW360;8426107212108;150;;;;
101213;PLAFON 48W CCT DIM 120*30 CM DW360;8426107213105;150;;;;
101214;PLAFON 48W CCT DIN 120*15 CM DW360;8426107214102;150;;;;
101220;PLAFON 24W LUZ LAT BL CUA 4000K FULL;8426107220103;90;;;;
101223;PLAFON 24W LUZ LAT BL RED 4000K FULL;8426107223111;77;;;;
101224;EMP 18+6W RED 3 ENC 4000K 1700TWIS;8426107242112;150;;;;
101225;PLAFON 18+6W 220 RED 3 1700 4000 TWIS;8426107225108;150;;;;
101226;PLAF 18+6W 245x245 CUA 3 1700 4000 TWIS;8426107226105;31;;;;
101227;EMP 5W DORADO 4000K CRASH;8426107227102;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101228;EMP 5W PLATA 4000K CRASH;8426107228123;0;;;No info / No hay informacion de fecha ni cantidad estimada;
101229;EMP 5W BL 4000K CRASH;8426107229106;0;;;No info / No hay informacion de fecha ni cantidad estimada;
