"OxatisId";"ItemSKU";"Name";"TaxRate";"Price1VATExcluded";"Category1Name";"Category2Name";"Category3Name";"Category4Name";"Category5Name";"Category6Name";"Category7Name";"Category8Name";"Category9Name";"Category10Name";"BrandName";"Weight";"MetaTitle";"MetaDescription";"MetaKeywords";"EANCode";"ProductLanguage";"CanonicalURLCustomizedContent"
"19018178";"33600";"Ventilador de techo Feroe FARO Blanco 106cm.Ø";"21,00";"112,4";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";;;;;;;;"FARO";"0";"Ventilador de techo Feroe Faro con luz. Ventiladores FARO 33600";"Compra tu ventilador Feroe de la firma Faro. Ventilador Faro Feroe blanco con luz y mando a distancia con envio Gratis y Bombillas LED. Mejoramos el mejor precio.";"Feroe, Faro, ventilador de techo, faro, ventiladores de techo, feroe";"8421776079571";;"ventilador-feroe-faro-blanco"
"19019484";"33601";"Ventilador de techo Feroe FARO Niquel 106cm.Ø";"21,00";"114,05";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Faro. Ventilador de techo con luz Feroe. Ventiladores 33601";"Ventilador de techo Faro. Comprar Ventilador Faro moderno blanco con luz y mando a distancia con envio Gratis y Bombillas LED.";"ventilador de techo, faro, feroe, blanco";"8421776079588";;"faro-ventilador-de-techo-con-luz-feroe"
"19019884";"33415";"Ventilador de techo Easy FARO Blanco 105cm.Ø";"21,00";"86,78";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Ventilador de techo Easy Faro. Envio gratis Sunaca Easy";"Compra tu ventilador Easy Faro. Ventilador de techo con mando a distancia con programador de apagado. Oferta en ventiladores de techo FARO al mejor precio. Ventilador con luz y aspas acrilicas.";"easy, Faro, ventilador de techo, faro, ventiladores de techo, easy";"8421776022836";;"faro-ventilador-easy-faro"
"19019941";"33416";"Ventilador de techo Easy FARO Gris 105cm.Ø";"21,00";"86,78";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Ventilador de techo Easy gris. Ventiladores Sunaca";"Descrubra el Ventilador de techo Easy Faro. Comprar online Ventilador Easy con luz Faro moderno gris y mando a distancia con programador. Envio gratis Faro. Mejoramos el mejor precio.";"Easy, Faro, ventilador de techo, faro, ventiladores de techo, easy";"8421776023055";;"ventilador-easy-gris-faro"
"19020480";"33318";"Ventilador de techo Veneto FARO Blanco 107cm.Ø";"21,00";"85,17";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;"Ventiladores de techo\Ventiladores Vintage";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Faro. ventilador de techo con luz Veneto. ventiladores";"Faro ventilador de techo Faro Veneto. Comprar Ventilador Faro Veneto blanco con luz oferta envio y Bombillas LED. GRATIS.";"Faro, ventilador de techo, faro, veneto, blanco,ventiladores Faro.";"8421776063563";;"faro-ventilador-de-techo-con-luz-veneto"
"19020780";"33314";"Ventilador Vanu FARO - Marron 132cm. Ø";"21,00";"155,37";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";"Ventiladores de techo\Ventiladores Clasicos";;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Faro Vanu ventilador de techo Vanu marron 33314";"Compra el ventilador  Vanu de Faro &#10003; Envio gratis &#10003; Mando a distancia incluido &#10003; Aspas reversibles &#10003; 5 aspas &#10003; maximo silencio &#10003; Distribuidores oficiales ";"Vanu, Faro, ventilador de techo, ventiladores de techo, faro, vanu, 33314";"8421776333147";;"faro-ventilador-de-techo-con-luz-vanu"
"19022476";"33179";"Ventilador de techo Palao FARO Multicolor 81cm.Ø";"21,00";"42,975";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";;;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";"Ventiladores de techo\Ventiladores infantiles";;"FARO";"0";"Ventilador Palao Faro. Ventiladores de techo Infantiles";"Comprar ventilador de techo palao Faro. Ventiladores de techo infantiles con aspas de colores. Ventilador de pequeñas dimensiones para habitaciones de los mas pequeños. ";"Palao, Faro, ventilador de techo, faro, ventiladores de techo, palao, multicolor";"8421776041103";;"faro-ventilador-de-techo-infantil-palao-multicolor"
"19022563";"33180";"Ventilador de techo Palao FARO Blanco 81cm.Ø";"21,00";"41,32";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";"Ventiladores de techo\Ventiladores infantiles";;"FARO";"0";"Ventilador Palao Faro. Ventiladores de techo Faro blanco";"Descubre los ventiladores Palao de la firma Faro. Ventiladores pequeños con motor silencioso. Ventiladores de techo Faro con oferta de envio gratis. Si lo encuentras mas barato, lo mejoramos.";"Palao, Faro, ventilador de techo, faro, ventiladores de techo, palao";"8421776011618";;"faro-ventilador-palao-blanco"
"19022579";"33183";"Ventilador de techo Palao FARO Niquel 81cm.Ø";"21,00";"42,975";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Ventilador Palao Faro niquel. Ventiladores de techo faro.";"Compra el ventilador Palao Faro on line en oferta de envio gratis. Ventilador de techo Faro de perqueñas dimensiones. Ventilador silencioso sin mando a distancia. Ventilador LED gratis.";"Palao, Faro, ventilador de techo, faro, ventiladores de techo, palao";"8421776331839";;"faro-ventilador-de-techo-palao-niquel"
"19022802";"33185";"Ventilador de techo Palao FARO Marrón 81cm.Ø";"21,00";"41,32";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";"Ventiladores de techo\Ventiladores Clasicos";;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Ventilador Palao Faro. Ventiladores de techo Faro marron";"Descubre los ventiladores Palao de la firma Faro. Ventiladores pequeños con motor silencioso. Ventiladores de techo Faro con oferta de envio gratis. Si lo encuentras mas barato, lo mejoramos.";"Palao, Faro, ventilador de techo, faro, ventiladores de techo, palao";"8421776331853";;"faro-ventilador-de-techo-palao-niquel"
