Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
ALPINE;7046;Aplique exterior LED  IP65;Blanco;LED 6W - 3000K - 510 LMS - 220-240V~50/60Hz;28,90
ANDREA CROMO;6310;Lámpara ;Cromo;12 x E14 (No Incl.);606,75
ANDREA CROMO;6311;Lámpara ;Cromo;9 x E14 (No Incl.);450,68
ANDREA CROMO;6312;Lámpara ;Cromo;8 x E14 (No Incl.);536,49
ANDREA CROMO;6314;Lámpara ;Cromo;5 x E14 (No Incl.);370,27
ANDREA CROMO;6315;Lámpara ;Cromo;3 x E14 (No Incl.);224,32
ANDREA CROMO;6316;Aplique ;Cromo;2 x E14 (No Incl.);95,28
ANDREA CROMO;6317;Aplique ;Cromo;1 x E14 (No Incl.);66,89
ANDREA CROMO;6318;Sobremesa ;Cromo;2 x E14 (No Incl.);108,11
ANDREA CROMO;6319;Sobremesa ;Cromo;1 x E14 (No Incl.);79,73
ANDREA CROMO;6320;Pie De Salón ;Cromo;2 x E27 (No Incl.);264,86
ANDREA CUERO SATINADO;6330;Lámpara ;Cuero satinado;12 x E14 (No Incl.);625,00
ANDREA CUERO SATINADO;6331;Lámpara ;Cuero satinado;9 x E14 (No Incl.);463,51
ANDREA CUERO SATINADO;6332;Lámpara ;Cuero satinado;8 x E14 (No Incl.);551,35
ANDREA CUERO SATINADO;6334;Lámpara ;Cuero satinado;5 x E14 (No Incl.);378,38
ANDREA CUERO SATINADO;6335;Lámpara ;Cuero satinado;3 x E14 (No Incl.);232,43
ANDREA CUERO SATINADO;6336;Aplique ;Cuero satinado;2 x E14 (No Incl.);98,65
ANDREA CUERO SATINADO;6337;Aplique ;Cuero satinado;1 x E14 (No Incl.);70,26
ANDREA CUERO SATINADO;6338;Sobremesa ;Cuero satinado;2 x E14 (No Incl.);112,15
ANDREA CUERO SATINADO;6339;Sobremesa ;Cuero satinado;1 x E14 (No Incl.);83,78
ANDREA CUERO SATINADO;6340;Pie De Salón ;Cuero satinado;2 x E27 (No Incl.);278,38
ANETO;6485;Plafón LED Redondo;Blanco;LED 18W - 4000K - 1700 LMS - AC220-240V 50/60Hz;60,50
ANETO;6486;Plafón LED  Redondo;Blanco;LED 24W - 4000K - 2500 LMS - AC220-240V 50/60Hz;76,80
ANETO;6487;Plafón LED Cuadrado;Blanco;LED 18W - 4000K - 1700 LMS - AC220-240V 50/60Hz;68,70
ANETO;6488;Plafón LED  Cuadrado;Blanco;LED 24W - 4000K - 2500 LMS - AC220-240V 50/60Hz;84,80
ANFORA;6270;***DES***Lámpara ;Blanco;1 x E27 (No Incl.);74,14
ANFORA;6272;***DES***Lámpara ;Blanco;1 x E27 (No Incl.);53,04
ANTARES;7310;Lámpara 1 Luz;Negro;LED 8W - 3000K - 590 LMS - 220-240V~50/60Hz;60,46
