Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
BOMBILLAS E27;R09138;LED E27 11W 5000K 870lm;Blanco;LED 11W - 5000K - 870 LMS - AC 220-240V 50/60Hz;6,64
BOMBILLAS E27;R09139;LED E27 15W 3000K 1480lm;Blanco;LED 15W - 3000K - 1480 LMS - AC 220-240V 50/60Hz;4,70
BOMBILLAS E27;R09140;LED E27 15W 5000K 1510lm;Blanco;LED 15W - 5000K - 1510 LMS - AC 220-240V 50/60Hz;4,70
BOMBILLAS E27;R09142;LED E27 8W 3000K 630lm;Blanco;LED 8W - 3000K - 630 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E27;R09143;LED E27 8W 5000K 670lm;Blanco;LED 8W - 5000K - 670 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E27;R09174;LED E27 8W 3000K 805lm;Blanco;LED 8W - 3000K - 805 LMS - AC 220-240V 50/60Hz;5,20
BOMBILLAS E27;R09178;LED E27 8W 5000K 823lm;Blanco;LED 8W - 5000K - 823 LMS - AC 220-240V 50/60Hz;5,20
BOMBILLAS E27;R09204;LED E27 8W 2200K 640lm G95;Transparente;LED 8W - 2200K - 640 LMS - AC 220-240V 50/60Hz;11,04
BOMBILLAS E27;R09205;LED E27 8W 2200K 640lm G125;Transparente;LED 8W - 2200K - 640 LMS - AC 220-240V 50/60Hz;12,24
BOMBILLAS E27;R09206;LED E27 8W 2200K 640lm ST64;Transparente;LED 8W - 2200K - 640 LMS - AC 220-240V 50/60Hz;11,44
BOMBILLAS E27;R09211;LED E27 7W 4000K 800lm;Transparente;LED 7W - 4000K - 800 LMS - AC 220-240V 50/60Hz;3,20
BOMBILLAS E27;R09212;LED E27 20W 3000K 1615lm;Blanco;LED 20W - 3000K - 1615 LMS - AC 220-240V 50/60Hz;9,76
BOMBILLAS E27;R09213;LED E27 20W 4000K 1670lm;Blanco;LED 20W - 4000K - 1670 LMS - AC 220-240V 50/60Hz;9,76
BOMBILLAS E27;R09215;LED E27 10W 4000K 820lm;Blanco;LED 10W - 4000K - 820 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09222;LED E27 8W 4000K 660lm;Blanco;LED 8W - 4000K - 660 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E27;R09223;LED E27 5.5W 4000K 480lm;Blanco;LED 5.5W - 4000K - 480 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E27;R09228;LED E27 6.5W 2200K 650lm ST64;Transparente;LED 6.5W - 2200K - 650 LMS - AC 220-240V 50/60Hz;4,10
BOMBILLAS E27;R09229;LED E27 6.5W 2200K 650lm G95;Transparente;LED 6.5W - 2200K - 650 LMS - AC 220-240V 50/60Hz;5,30
BOMBILLAS E27;R09230;LED E27 6.5W 2200K 650lm G125;Transparente;LED 6.5W - 2200K - 650 LMS - AC 220-240V 50/60Hz;6,30
BOMBILLAS E27;R09232;LED E27 7W 2400K 660lm T30;Transparente;LED 7W - 2400K - 660 LMS - AC 220-240V 50/60Hz;7,96
BOMBILLAS E27;R09233;LED E27 6W 2400K 590lm T30;Transparente;LED 6W - 2400K - 590 LMS - AC 220-240V 50/60Hz;6,08
BOMBILLAS E27;R09234;LED E27 9W 3000K 1000lm;Blanco;LED 9W - 3000K - 1000 LMS - AC 220-240V 50/60Hz;4,90
BOMBILLAS E27;R09235;LED E27 9W 4000K 1090lm;Blanco;LED 9W - 4000K - 1090 LMS - AC 220-240V 50/60Hz;4,90
BOMBILLAS E27;R09237;LED E27 6.5W 3000K 790lm;Blanco;LED 6.5W - 3000K - 790 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09238;LED E27 6.5W 4000K 800lm;Blanco;LED 6.5W - 4000K - 800 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09239;LED E27 6.5W 3000K 790lm;Blanco;LED 6.5W - 3000K - 790 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09240;LED E27 6.5W 4000K 800lm;Blanco;LED 6.5W - 4000K - 800 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS G4;R09209;LED G4 2W 3000K 190lm;Blanco;LED 2W - 3000K - 190 LMS - AC/DC 12V;2,72
BOMBILLAS G4;R09210;LED G4 2W 5000K 190lm;Blanco;LED 2W - 5000K - 190 LMS - AC/DC 12V;2,72
BOMBILLAS G9;R09182;LED G9 3W 2700K 268lm;Blanco;LED 3W - 2700K - 268 LMS - AC 220-240V 50/60Hz;3,70
BOMBILLAS G9;R09183;LED G9 3W 5000K 268lm;Blanco;LED 3W - 5000K - 268 LMS - AC 220-240V 50/60Hz;3,70
BOMBILLAS G9;R09184;LED G9 2.5W 2700K 220lm;Blanco;LED 2.5W - 2700K - 220 LMS - AC 220-240V 50/60Hz;2,96
BOMBILLAS G9;R09185;LED G9 2.5W 5000K 230lm;Blanco;LED 2.5W - 5000K - 230 LMS - AC 220-240V 50/60Hz;2,96
BOMBILLAS G9;R09202;LED G9 3.5W 2700K 360lm;Blanco;LED 3.5W - 2700K - 360 LMS - AC 220-240V 50/60Hz;4,10
BOMBILLAS G9;R09203;LED G9 3.5W 5000K 375lm;Blanco;LED 3.5W - 5000K - 375 LMS - AC 220-240V 50/60Hz;4,10
BOMBILLAS G9;R09226;LED G9 2.5W 3000K 240lm;Transparente;LED 2.5W - 3000K - 240 LMS - AC 220-240V 50/60Hz;3,10
BOMBILLAS G9;R09227;LED G9 2.5W 4000K 250lm;Transparente;LED 2.5W - 4000K - 250 LMS - AC 220-240V 50/60Hz;3,10
BOMBILLAS GU10;R09156;LED GU10 8W 3000K 641lm;Blanco;LED 8W - 3000K - 641 LMS - AC 220-240V 50/60Hz;9,32
BOMBILLAS GU10;R09157;LED GU10 8W 5000K 641lm;Blanco;LED 8W - 5000K - 641 LMS - AC 220-240V 50/60Hz;9,32
BOMBILLAS GU10;R09158;LED GU10 6W 3000K 484lm;Blanco;LED 6W - 3000K - 484 LMS - AC 220-240V 50/60Hz;8,76
BOMBILLAS GU10;R09159;LED GU10 6W 5000K 515lm;Blanco;LED 6W - 5000K - 515 LMS - AC 220-240V 50/60Hz;8,76
BOMBILLAS GU10;R09194;LED GU10 4W 3000K 300lm;Blanco;LED 4W - 3000K - 300 LMS - AC 220-240V 50/60Hz;3,10
BOMBILLAS GU10;R09195;LED GU10 4W 5000K 320lm;Blanco;LED 4W - 5000K - 320 LMS - AC 220-240V 50/60Hz;3,10
BOMBILLAS GU10;R09196;LED GU10 6W 3000K 520lm;Blanco;LED 6W - 3000K - 520 LMS - AC 220-240V 50/60Hz;3,58
BOMBILLAS GU10;R09197;LED GU10 6W 5000K 540lm;Blanco;LED 6W - 5000K - 540 LMS - AC 220-240V 50/60Hz;3,58
BOMBILLAS GU10;R09207;LED GU10 4W 3000K 360lm;Blanco;LED 4W - 3000K - 360 LMS - AC 220-240V 50/60Hz;6,14
BOMBILLAS GU10;R09214;LED GU10 6W 4000K 540lm;Blanco;LED 6W - 4000K - 540 LMS - AC 220-240V 50/60Hz;3,58
BOMBILLAS GU10;R09218;LED GU10 9W 3000K 800lm;Blanco;LED 9W - 3000K - 800 LMS - AC 220-240V 50/60Hz;6,10
BOMBILLAS GU10;R09219;LED GU10 9W 3000K 800lm;Blanco;LED 9W - 3000K - 800 LMS - AC 220-240V 50/60Hz;4,10
BOMBILLAS GU10;R09220;LED GU10 9W 4000K 820lm;Blanco;LED 9W - 4000K - 820 LMS - AC 220-240V 50/60Hz;4,10
BOMBILLAS GX53;R09224;LED GX53 9W 3000K 730lm;Blanco;LED 9W - 3000K - 730 LMS - AC 100-250V 50/60Hz;6,70
BOMBILLAS GX53;R09225;LED GX53 9W 4000K 740lm;Blanco;LED 9W - 4000K - 740 LMS - AC 100-250V 50/60Hz;6,70
BORA;6535;Aplique exterior LED  IP54;Blanco;LED 9.6W - 3000K - 720 LMS - 220-240V~50/60Hz;41,30
BORA;6536;Aplique exterior LED  IP54;Gris Oscuro;LED 9.6W - 3000K - 720 LMS - 220-240V~50/60Hz;42,50
BORA;6537;Aplique exterior LED  IP54;Blanco;LED 9.6W - 3000K - 720 LMS - 220-240V~50/60Hz;42,50
BORA BORA;C0101;Aplique LED ;Blanco Mate;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;42,00
BORA BORA;C0102;Aplique LED ;Blanco Mate;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;61,40
BORA BORA;C0103;Aplique LED ;Blanco Mate;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;49,10
BORA BORA;C0104;Aplique LED ;Blanco Mate;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;68,40
BORA BORA;C0105;Aplique LED ;Blanco Mate;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;54,20
BORA BORA;C0106;Aplique LED ;Blanco Mate;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;73,60
BORA BORA;C0111;Aplique LED ;Pintura Plateada;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;42,00
BORA BORA;C0112;Aplique LED ;Pintura Plateada;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;61,30
BORA BORA;C0113;Aplique LED ;Pintura Plateada;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;49,00
BORA BORA;C0114;Aplique LED ;Pintura Plateada;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;68,40
BORA BORA;C0115;Aplique LED ;Pintura Plateada;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;54,20
BORA BORA;C0116;Aplique LED ;Pintura Plateada;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;73,60
BORA BORA;C0117;Aplique LED ;Blanco Mate;LED 16W - 3000K - 1350 LMS - AC220-240V 50/60Hz;83,00
BORA BORA;C0118;Aplique LED ;Pintura Plateada;LED 16W - 3000K - 1350 LMS - AC220-240V 50/60Hz;83,00
BORA BORA;C0119;Aplique LED ;Negro Mate;LED 6W - 3000K - 540 LMS - AC220-240V 50/60Hz;42,00
BORA BORA;C0120;Aplique LED ;Negro Mate;LED 12W - 3000K - 1080 LMS - AC220-240V 50/60Hz;61,30
BORA BORA;C0124;Plafón/Aplique LED ;Negro Mate;LED 16W - 3000K - 1350 LMS - AC220-240V 50/60Hz;83,00
BORA BORA;C0125;Plafón/Aplique LED ;Blanco Mate;LED 30W - 3000K - 2400 LMS - AC220-240V 50/60Hz;127,80
BORA BORA;C0126;Plafón/Aplique LED ;Negro Mate;LED 30W - 3000K - 2400 LMS - AC220-240V 50/60Hz;127,80
BORACAY;5717;Aplique - Foco Superficie LED ;Blanco Mate + Negro;LED 7W - 3000K - 500 LMS - 220-240V~50/60Hz;46,50
BORACAY;5718;Aplique - Foco Superficie LED ;Blanco Mate + Negro;LED 7W - 4000K - 560 LMS - 220-240V~50/60Hz;46,50
BORACAY;5719;Aplique - Foco Superficie LED ;Blanco Mate + Negro;LED 2*7W - 3000K - 960 LMS - 220-240V~50/60Hz;79,40
BORACAY;5720;Aplique - Foco Superficie LED ;Blanco Mate + Negro;LED 2*7W - 4000K - 1030 LMS - 220-240V~50/60Hz;79,40
BOX;7155;Lámpara LED;Blanco;LED 36W - 3000K-6000K - 1400 LMS - AC 220-240V 50/60Hz;103,50
BOX;7156;Lámpara LED;Blanco;LED 24W - 3000K-6000K - 900 LMS - AC 220-240V 50/60Hz;80,90
BOX;7157;Aplique LED;Blanco;LED 20W - 3000K - 800 LMS - AC 220-240V 50/60Hz;52,42
BRANDON ;6900;Empotrable ;Blanco Arena;1 x GU10 (No Incl.);7,64
BRANDON ;6901;Empotrable ;Negro Arena;1 x GU10 (No Incl.);7,64
BRANDON ;6902;Empotrable ;Blanco Arena;1 x GU10 (No Incl.);8,46
BRANDON ;6903;Empotrable ;Negro Arena;1 x GU10 (No Incl.);8,46
BUCLE;5870;Lámpara LED ;Plata Cromo;LED 42W - 3000K - 3650 LMS - 100-240V~50/60Hz;265,20
BUCLE;5981;Plafon LED ;Plata Cromo;LED 36W - 3000K - 3150 LMS - 220-240V~50/60Hz;222,30
BUCLE;5982;Plafón LED ;Plata Cromo;LED 40W - 3000K - 3500 LMS - 100-240V~50/60Hz;265,20
BUCLE;5983;Aplique LED ;Plata Cromo;LED 20W - 3000K - 1750 LMS - 100-240V~50/60Hz;128,70
BUCLE;5984;Sobremesa LED ;Plata Cromo;LED 18W - 3000K - 1550 LMS - 100-240V~50/60Hz;136,50
BUCLE;5987;Pie De Salón LED  Dimable;Plata Cromo;LED 50W - 3000K - 4300 LMS - 220-240V~50/60Hz;364,65
BURBUJA;5735;Aplique LED ;Cromo;LED 16W - 4000K - 1120 LMS - 220-240V~50/60Hz;58,50
BURBUJA;5790;Lámpara LED ;Cromo;LED 48W - 4000K - 3360 LMS - 220-240V~50/60Hz;136,50
BURBUJA;5792;Plafón LED ;Cromo;LED 30W - 4000K - 1200 LMS - 220-240V~50/60Hz;148,20
CABARETE;5714;Aplique LED ;Negro Mate;LED 2*3W - 3000K - 470 LMS - 220-240V~50/60Hz;63,90
CABARETE;5715;Aplique LED ;Blanco Mate;LED 2*3W - 3000K - 470 LMS - 220-240V~50/60Hz;63,90
CABRERA;C0041;Empotrable LED ;Blanco Mate;LED 7W - 3000K - 540 LMS - AC 220-240V 50/60Hz;13,10
CABRERA;C0042;Empotrable LED ;Blanco Mate;LED 7W - 4000K - 540 LMS - AC 220-240V 50/60Hz;13,10
CABRERA;C0043;Empotrable LED ;Blanco Mate;LED 24W - 3000K - 2160 LMS - AC 220-240V 50/60Hz;36,40
CABRERA;C0044;Empotrable LED ;Blanco Mate;LED 24W - 4000K - 2160 LMS - AC 220-240V 50/60Hz;36,40
CABRERA;C0047;Empotrable LED ;Blanco Mate;LED 12W - 3000K - 1080 LMS - AC 220-240V 50/60Hz;23,00
CABRERA;C0048;Empotrable LED ;Blanco Mate;LED 12W - 4000K - 1080 LMS - AC 220-240V 50/60Hz;23,00
CABRERA;C0049;Empotrable LED ;Blanco Mate;LED 30W - 3000K - 2550 LMS - AC 220-240V 50/60Hz;53,80
CABRERA;C0050;Empotrable LED ;Blanco Mate;LED 30W - 4000K - 2600 LMS - AC 220-240V 50/60Hz;53,80
CAICOS;6091;Aplique+Lector+Cargador USB;Blanco Mate;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz / 1 x E27 (No Incl.);75,40
CAICOS;6092;Aplique+Lector+Cargador USB;Níquel Satinado;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz / 1 x E27 (No Incl.);78,80
CAICOS;6093;Aplique+Lector+Cargador USB;Cuero;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz / 1 x E27 (No Incl.);84,70
CARRILES TRIFASICOS;SKB102;LEVA RAPIDA FIJACION TECHO NEGRA;Negro;;2,05
CARRILES TRIFASICOS;SKB103;LEVA RAPIDA FIJACION TECHO BLANCA;Blanco;;2,05
CARRILES TRIFASICOS;SKB122;LEVA FIJACION TECHO NEGRA;Negro;;3,17
CARRILES TRIFASICOS;SKB123;LEVA FIJACION TECHO BLANCA;Blanco;;3,17
CARRILES TRIFASICOS;SPW11SK215;KIT SUSPENSION CARRIL 1,5M NEGRO;Negro;;10,89
CARRILES TRIFASICOS;SPW11SK315;KIT SUSPENSION CARRIL 1,5M BLANCO;Blanco;;10,89
CARRILES TRIFASICOS;XTS112;FINAL ALIMENTADOR POLARIDAD DERECHA NEGRO;Negro;;10,86
CARRILES TRIFASICOS;XTS113;FINAL ALIMENTADOR POLARIDAD DERECHA BLANCO;Blanco;;10,86
CARRILES TRIFASICOS;XTS122;FINAL ALIMENTADOR POLARIDAD IZQUIERDA NEGRO;Negro;;10,86
CARRILES TRIFASICOS;XTS123;FINAL ALIMENTADOR POLARIDAD IZQUIERDA BLANCO;Blanco;;10,86
CARRILES TRIFASICOS;XTS142 ;ALIMENTADOR INTERMEDIO RECTO NEGRO;Negro;;32,67
CARRILES TRIFASICOS;XTS143;ALIMENTADOR INTERMEDIO RECTO BLANCO;Blanco;;32,67
CARRILES TRIFASICOS;XTS212;CONECTOR INTERMEDIO RECTO NEGRO;Negro;;7,59
CARRILES TRIFASICOS;XTS213;CONECTOR INTERMEDIO RECTO BLANCO;Blanco;;7,59
CARRILES TRIFASICOS;XTS242;CONECTOR ESQUINA AJUSTABLE NEGRO;Negro;;39,77
CARRILES TRIFASICOS;XTS243;CONECTOR ESQUINA AJUSTABLE BLANCO;Blanco;;39,77
CARRILES TRIFASICOS;XTS342;CONEXIÓN ALIMENTADOR EN L - POLARIDAD INTERNA NEGRO;Negro;;37,49
CARRILES TRIFASICOS;XTS343;CONEXIÓN ALIMENTADOR EN L - POLARIDAD INTERNA BLANCA;Blanco;;37,49
CARRILES TRIFASICOS;XTS352;CONEXIÓN ALIMENTADOR EN L - POLARIDAD EXTERNA NEGRO;Negro;;37,49
CARRILES TRIFASICOS;XTS353;CONEXIÓN ALIMENTADOR EN L - POLARIDAD EXTERNA BLANCA;Blanco;;37,49
CARRILES TRIFASICOS;XTS41002;CARRIL TRIFASICO SUPERFICIE 1M NEGRO;Negro;;27,39
CARRILES TRIFASICOS;XTS41003;CARRIL TRIFASICO SUPERFICIE 1M BLANCO;Blanco;;27,39
CARRILES TRIFASICOS;XTS412;TAPA FINAL NEGRA;Negro;;1,75
CARRILES TRIFASICOS;XTS413;TAPA FINAL BLANCA;Blanco;;1,75
CARRILES TRIFASICOS;XTS42002;CARRIL TRIFASICO SUPERFICIE 2M NEGRO;Negro;;54,78
CARRILES TRIFASICOS;XTS42003;CARRIL TRIFASICO SUPERFICIE 2M BLANCO;Blanco;;54,78
CARRILES TRIFASICOS;XTSF102;PLACA CUBRIR NEGRA  PARA XTS112/XTS122/XTS142;Negro;;4,88
CARRILES TRIFASICOS;XTSF103;PLACA CUBRIR BLANCA  PARA XTS113/XTS123/XTS143;Blanco;;4,88
CARRILES TRIFASICOS;XTSF302;PLACA CUBRIR NEGRA  PARA XTS342/XTS352;Negro;;5,38
CARRILES TRIFASICOS;XTSF303;PLACA CUBRIR BLANCA  PARA XTS343/XTS353;Blanco;;5,38
CARRILES TRIFASICOS;XTSF41002;CARRIL TRIFASICO EMPOTRAR 1M NEGRO;Negro;;35,05
CARRILES TRIFASICOS;XTSF41003;CARRIL TRIFASICO EMPOTRAR 1M BLANCO;Blanco;;35,05
CARRILES TRIFASICOS;XTSF42002;CARRIL TRIFASICO EMPOTRAR 2M NEGRO;Negro;;70,13
CARRILES TRIFASICOS;XTSF42003;CARRIL TRIFASICO EMPOTRAR 2M BLANCO;Blanco;;70,13
CAYMAN;6080;Aplique LED ;Blanco Mate;LED 3+6W - 3000K - 620 LMS - 220-240V~50/60Hz;63,40
CAYMAN;6081;Aplique LED ;Níquel Satinado;LED 3+6W - 3000K - 620 LMS - 220-240V~50/60Hz;67,20
CAYMAN;6082;Aplique LED ;Cuero;LED 3+6W - 3000K - 620 LMS - 220-240V~50/60Hz;71,20
CAYMAN;6083;Aplique LED ;Negro Mate;LED 3+6W - 3000K - 620 LMS - 220-240V~50/60Hz;63,40
CELESTE;6680;Lámpara LED  Grande;Blanco;LED 40W - 3000K - 2800 LMS - 220-240V~50/60Hz;371,10
CELESTE;6681;Lámpara LED  Mediano;Blanco;LED 30W - 3000K - 2100 LMS - 220-240V~50/60Hz;317,46
CELESTE;6682;Lámpara LED Pequeño;Blanco;LED 20W - 3000K - 1400 LMS - 220-240V~50/60Hz;224,46
CELESTE;6683;Lámpara LED  Grande;Negro;LED 40W - 3000K - 2800 LMS - 220-240V~50/60Hz;371,10
CELESTE;6684;Lámpara LED  Mediano;Negro;LED 30W - 3000K - 2100 LMS - 220-240V~50/60Hz;317,46
CELESTE;6685;Lámpara LED Pequeño;Negro;LED 20W - 3000K - 1400 LMS - 220-240V~50/60Hz;224,46
CENTARA;5930;***DES***Plafón LED Mando;Cromo;LED 40W - 3000K-6500K - 3200 LMS - AC 220-240V 50/60Hz;161,85
CERES;7290;Sobremesa Cargador Inducción  ;Blanco;LED 6W - 3000K - 450 LMS - 220-240V~50/60Hz;153,46
CERES;7291;Sobremesa Cargador Inducción  ;Negro;LED 6W - 3000K - 450 LMS - 220-240V~50/60Hz;153,46
CERLER;6496;Aplique LED  IP54;Gris Oscuro;LED 10W - 3000K - 700 LMS - 100-240V~50/60Hz;96,70
CHAMONIX;7060;Plafón/Aplique exterior LED  IP65;Gris Oscuro;LED 9W - 3000K - 725 LMS - 100-240V~50/60Hz;72,10
CHAMONIX;7061;Plafón/Aplique exterior LED  IP65;Blanco;LED 9W - 3000K - 725 LMS - 100-240V~50/60Hz;72,10
CHAMONIX;7062;Aplique exterior LED  IP65;Gris Oscuro;LED 9W - 3000K - 725 LMS - 100-240V~50/60Hz;79,40
CHAMONIX;7063;Aplique exterior LED  IP65;Blanco;LED 9W - 3000K - 725 LMS - 100-240V~50/60Hz;79,40
CHEVALIER;7088;Baliza LED SOLAR  IP54;Grafito;LED 2.2W - 3000K - 188 LMS - DC 3.7V;124,40
CIES;C0081;Empotrable LED  IP54;Blanco Mate;LED 7W - 3000K - 610 LMS - 220-240V~50/60Hz;33,60
CIES;C0082;Empotrable LED  IP54;Blanco Mate;LED 7W - 4000K - 640 LMS - 220-240V~50/60Hz;33,60
CINNA;6250;***DES***Lámpara LED;Cromo;LED 33W - 3000K - 3300 LMS - 100-240V~50/60Hz;320,95
CINNA;6251;***DES***Lámpara LED ;Cromo;LED 42W - 3000K - 4200 LMS - 100-240V~50/60Hz;459,46
CINTO CROMO;6120;Lámpara LED ;Cromo;LED 24W - 3000K - 1950 LMS - 100-240V~50/60Hz;254,32
CINTO CROMO;6121;Lámpara LED ;Cromo;LED 42W - 3000K - 3360 LMS - 100-240V~50/60Hz;424,61
CINTO CROMO;6124;Plafón LED ;Cromo;LED 20W - 3000K - 1600 LMS - 100-240V~50/60Hz;224,66
CINTO CROMO;6125;Plafón LED ;Cromo;LED 28W - 3000K - 2250 LMS - 220-240V~50/60Hz;335,64
CINTO CROMO;6126;Plafón LED ;Cromo;LED 42W - 3000K - 3360 LMS - 100-240V~50/60Hz;494,26
CINTO CROMO;6131;Plafón LED ;Cromo;LED 24W - 3000K - 1950 LMS - 220-240V~50/60Hz;175,24
CINTO CROMO;6132;Aplique LED ;Cromo;LED 6W - 3000K - 480 LMS - 100-240V~50/60Hz;102,90
CINTO CROMO;6133;Aplique LED ;Cromo;LED 12W - 3000K - 960 LMS - 220-240V~50/60Hz;141,09
CINTO CROMO;6134;Aplique LED ;Cromo;LED 20W - 3000K - 1600 LMS - 100-240V~50/60Hz;242,19
CINTO CROMO;6135;Sobremesa LED ;Cromo;LED 6W - 3000K - 480 LMS - 220-240V~50/60Hz;132,56
CINTO CROMO;6136;Sobremesa LED ;Cromo;LED 6W - 3000K - 480 LMS - 220-240V~50/60Hz;114,57
CINTO CROMO;6137;Pie De Salón LED Dimable;Cromo;LED 20W - 3000K - 1600 LMS - 220-240V~50/60Hz;274,09
CINTO CROMO;6144;Pie De Salón LED  Dimable;Cromo;LED 7W - 3000K - 540 LMS - 100-240V~50/60Hz;204,44
CINTO CUERO SATINADO;6122;Lámpara LED ;Cuero Satinado;LED 24W - 3000K - 1950 LMS - 100-240V~50/60Hz;266,45
CINTO CUERO SATINADO;6123;Lámpara LED ;Cuero Satinado;LED 42W - 3000K - 3360 LMS - 100-240V~50/60Hz;444,83
CINTO CUERO SATINADO;6127;Plafón LED ;Cuero Satinado;LED 20W - 3000K - 1600 LMS - 100-240V~50/60Hz;235,90
CINTO CUERO SATINADO;6128;Plafón LED ;Cuero Satinado;LED 28W - 3000K - 2250 LMS - 100-240V~50/60Hz;354,97
CINTO CUERO SATINADO;6129;Plafón LED ;Cuero Satinado;LED 42W - 3000K - 3360 LMS - 100-240V~50/60Hz;521,22
CINTO CUERO SATINADO;6130;Plafón LED ;Cuero Satinado;LED 24W - 3000K - 1950 LMS - 220-240V~50/60Hz;188,72
CINTO CUERO SATINADO;6138;Aplique LED ;Cuero Satinado;LED 6W - 3000K - 480 LMS - 100-240V~50/60Hz;107,84
CINTO CUERO SATINADO;6139;Aplique LED ;Cuero Satinado;LED 12W - 3000K - 960 LMS - 220-240V~50/60Hz;148,29
CINTO CUERO SATINADO;6140;Aplique LED ;Cuero Satinado;LED 20W - 3000K - 1600 LMS - 100-240V~50/60Hz;248,49
CINTO CUERO SATINADO;6141;Sobremesa LED ;Cuero Satinado;LED 6W - 3000K - 480 LMS - 220-240V~50/60Hz;137,94
CINTO CUERO SATINADO;6142;Sobremesa LED ;Cuero Satinado;LED 6W - 3000K - 480 LMS - 220-240V~50/60Hz;118,17
CINTO CUERO SATINADO;6143;Pie De Salón LED Dimable;Cuero Satinado;LED 20W - 3000K - 1600 LMS - 220-240V~50/60Hz;280,83
CINTO CUERO SATINADO;6145;Pie De Salón LED  Dimable;Cuero Satinado;LED 7W - 3000K - 540 LMS - 100-240V~50/60Hz;208,94
CLOCK;6670;Plafón LED;Blanco Arena;LED 30W - 4000K - 2100 LMS - 220-240V~50/60Hz;67,80
CLOCK;6671;Plafón LED;Blanco Arena;LED 40W - 4000K - 2800 LMS - 220-240V~50/60Hz;85,42
COLUMBRETES;C0085;Foco Superficie LED ;Blanco Mate;LED 12W - 3000K - 1040 LMS - 220-240V~50/60Hz;60,00
COLUMBRETES;C0086;Foco Superficie LED ;Blanco Mate;LED 12W - 4000K - 1090 LMS - 220-240V~50/60Hz;60,00
COLUMBRETES;C0087;Foco Superficie LED ;Blanco Mate;LED 12W - 3000K - 1040 LMS - 220-240V~50/60Hz;60,00
COLUMBRETES;C0088;Foco Superficie LED ;Blanco Mate;LED 12W - 4000K - 1090 LMS - 220-240V~50/60Hz;60,00
COMFORT GU10;C0160;Empotrable ;Blanco Mate;1 x GU10 (No Incl.);6,80
COMFORT GU10;C0161;Empotrable ;Plata mate;1 x GU10 (No Incl.);6,80
COMFORT GU10;C0162;Empotrable ;Blanco Mate;1 x GU10 (No Incl.);6,80
COMFORT GU10;C0163;Empotrable ;Plata mate;1 x GU10 (No Incl.);6,80
COMFORT GU10;C0164;Empotrable ;Negro Mate;1 x GU10 (No Incl.);6,80
COMFORT GU10;C0165;Empotrable ;Negro Mate;1 x GU10 (No Incl.);6,80
COMFORT IP;6810;Empotrable ;Blanco Mate;1 x GU10 (No Incl.);8,30
COMFORT IP;6811;Empotrable ;Negro Mate;1 x GU10 (No Incl.);8,30
COMFORT IP;6812;Empotrable ;Blanco Mate;1 x GU10 (No Incl.);9,08
COMFORT IP;6813;Empotrable ;Negro Mate;1 x GU10 (No Incl.);9,08
COOK;7110;Aplique LED ;Blanco;LED 10W - 3000K - 780 LMS - 220-240V~50/60Hz;47,20
COOK;7111;Aplique LED ;Blanco;LED 12.5W - 3000K - 975 LMS - 220-240V~50/60Hz;50,60
CORAL;5550;***DES***Plafón LED ;Cromo;LED 23.5W - 4000K - 940 LMS - 220-240V~50/60Hz;67,80
CORAL;5551;***DES***Plafón LED ;Cromo;LED 15.5W - 4000K - 620 LMS - 220-240V~50/60Hz;47,76
CORAL;5553;***DES***Plafón LED ;Cromo;LED 15.5W - 4000K - 620 LMS - 220-240V~50/60Hz;47,76
CORINTO;6105;Lámpara LED  Dimable;Plata-Cromo;LED 60W - 3000K - 4800 LMS - 220-240V~50/60Hz;494,10
CORINTO;6106;Lámpara LED  Dimable;Plata-Cromo;LED 80W - 3000K - 6400 LMS - 220-240V~50/60Hz;682,34
CORINTO;6107;Aplique LED ;Plata-Cromo;LED 12W - 3000K - 960 LMS - 220-240V~50/60Hz;125,64
CORINTO;6108;Pie De Salón LED  Dimable;Plata-Cromo;LED 30W - 3000K - 2400 LMS - 220-240V~50/60Hz;310,58
