ITEMID;CONFIGID;Stock;FECHAPROX;;;
70421;;5;9/5/20;;;
70454;;7;9/5/20;;;
70605;;6;9/5/20;;;
70721001;;4;9/5/20;;;
7075;;9;;;;
70806;;2;9/5/20;;;
7083210;;263;;;;
710936;;6;;;;
711021;;75;9/5/20;;;
711132;;8;20/1/20;;;
711324;;30;20/1/20;;;
713016;;8;27/3/20;;;
7148;;5;;;;
716153;;27;28/2/20;;;
716153UK;;27;;;;
716208;;31;9/5/20;;;
7164;;131;;;;
716478;;14;20/1/20;;;
716478D;;14;;;;
716583;;10;28/2/20;;;
716620;;16;;;;
716620D;;18;;;;
721745;;30;9/5/20;;;
723714;;56;;;;
723820;;48;9/5/20;;;
723820UK;;51;9/5/20;;;
723955;;61;14/2/20;;;
725106;;4;20/1/20;;;
725751;;19;24/4/20;;;
726012;;25;9/5/20;;;
726124;;21;;;;
726281;;46;;;;
726348;;51;;;;
726439;;11;;;;
726905;;4;9/5/20;;;
729040;;50;9/5/20;;;
732401;;20;28/2/20;;;
73541000;;19;;;;
735836R01;;4;9/5/20;;;
736198;;6;;;;
736210;;0;24/1/20;;;
736210UK;;0;;;;
736321;;11;20/1/20;;;
736321UK;;15;;;;
736321UKR01;;25;;;;
736543;;20;;;;
736543D;;21;;;;
7368;;21;;;;
7374;;1;;;;
738026;;27;;;;
741563;;7;;;;
742215;;23;28/2/20;;;
742350;;4;28/2/20;;;
743264;;14;9/5/20;;;
743352;;27;9/5/20;;;
7437;;3;;;;
743826;;36;31/1/20;;;
7441;;3;;;;
7443;;21;21/2/20;;;
7452;;2;;;;
745201;;3;;;;
746709;;14;;;;
748472;;68;27/1/20;;;
748592;;25;19/1/20;;;
748592UK;;28;;;;
748631;;9;;;;
748631UK;;9;;;;
748719;;107;9/5/20;;;
748719UK;;110;9/5/20;;;
7502;;21;;;;
750515;;8;9/5/20;;;
75064543;;1;9/5/20;;;
7507/210;;11;;;;
751213;;30;9/5/20;;;
751415;;3;9/5/20;;;
753108;;48;9/5/20;;;
753114;;44;;;;
753251;;16;9/5/20;;;
753260;;24;9/5/20;;;
753319;;49;9/5/20;;;
753321;;7;;;;
7534;;9;;;;
754031;;16;9/5/20;;;
754192;;11;9/5/20;;;
754306;;6;;;;
754861;;8;24/1/20;;;
755108;;39;9/5/20;;;
75651547;;2;;;;
756729;;2;24/1/20;;;
756853;;14;9/5/20;;;
757186;;13;;;;
758022;;14;9/5/20;;;
7608;;41;21/2/20;;;
7611;;2;21/2/20;;;
7613;;63;;;;
761398;;20;9/5/20;;;
761508;;29;20/1/20;;;
761508UK;;33;;;;
761508UKR01;;25;;;;
761690;;22;20/1/20;;;
761690UK;;23;;;;
761690UKR01;;9;;;;
762905;;21;28/2/20;;;
763712;;80;20/1/20;;;
763824;;6;7/2/20;;;
764011;;5;7/2/20;;;
764123;;12;31/1/20;;;
764352;;7;7/2/20;;;
764599;;47;5/3/20;;;
765376;;65;31/12/19;;;
765509;;60;;;;
769932;;70;9/5/20;;;
77;;2;;;;
770916;;34;9/5/20;;;
771256;;1;28/2/20;;;
772518;;27;28/2/20;;;
773106;;23;21/1/20;;;
773421;;6;21/1/20;;;
773572;;24;21/2/20;;;
775922;;30;29/5/20;;;
776538;;2;;;;
779025;;48;9/5/20;;;
781539;;33;28/2/20;;;
782619;;8;9/5/20;;;
783517;;79;20/1/20;;;
783517D;;79;16/1/20;;;
783529;;0;20/1/20;;;
783529D;;0;17/1/20;;;
783618;;33;20/1/20;;;
783618D;;36;;;;
783627;;20;7/2/20;;;
783627D;;24;;;;
783741;;0;28/2/20;;;
783753;;95;24/1/20;;;
784326;;273;7/2/20;;;
784326R01;;19;9/5/20;;;
784347;;202;7/2/20;;;
784347R01;;5;9/5/20;;;
785194;;48;9/5/20;;;
785263;;46;;;;
785635;;14;22/1/20;;;
785635D;;15;;;;
785648;;0;24/1/20;;;
785648D;;0;;;;
785861;;4;;;;
785861D;;5;;;;
786136;;62;31/12/19;;;
786351;;18;20/3/20;;;
786430;;1;15/1/20;;;
786485;;0;15/1/20;;;
786508;;20;22/1/20;;;
786577;;13;22/1/20;;;
786621;;32;9/5/20;;;
786645;;19;24/4/20;;;
786716;;0;15/1/20;;;
786831;;11;22/1/20;;;
786966;;0;15/1/20;;;
786973;;12;22/1/20;;;
787017;;0;15/1/20;;;
787024;;0;15/1/20;;;
787130;;0;15/1/20;;;
787147;;0;15/1/20;;;
787253;;0;15/1/20;;;
787253UKR01;;16;9/5/20;;;
