"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
19068141;33471N;Ventilador Pemba FARO - blanco Motor DC. Sin luz 132cm. ?;30;0.00;396,90;8421776167155
19068146;33472N;Ventilador Nias FARO - motor DC 132cm. ?;30;0.00;388,60;8421776167285
19109190;33450;Ventilador articulado Vedra FARO 46cm.?;30;0.00;282,50;8421776047006
19612414;33397;Ventilador Disc FARO motor DC LED 132cm.?;30;0.00;553,60;8421776089693
19612427;33420+33420L;Ventilador de techo Nova FARO 132cm. ? + Kit de Luz;30;0.00;434,00;
19612494;33420;Ventilador de techo Nova FARO sin luz 132cm. ?;30;0.00;367,00;8421776089334
19612504;33460;Ventilador Ice FARO - Con altavoz y luz Led 132cm. ?;30;0.00;540,00;8421776116467
19612544;32020;Ventilador Mini Eterfan FARO - blanco brillo motor DC. 128cm. ?;0;323.00;555,30;8421776096912
19612611;32025;Ventilador Mini Eterfan FARO - blanco mate motor DC. 128cm.?;0;323.00;555,30;8421776096929
19612616;32026;Ventilador Mini Eterfan FARO - negro brillo motor DC. 128cm. ?;0;323.00;555,30;8421776096936
19612617;32027;Ventilador Mini Eterfan FARO - negro pala transparente 128cm ?;0;323.00;555,30;8421776096943
19612618;32028;Ventilador Mini Eterfan FARO - negro mate pala nogal 128cm. ?;0;323.00;555,30;8421776096950
19613134;33463;Ventilador Lantau G FARO nogal iluminaci?n LED 168cm. ?;30;0.00;541,20;8421776092082
19613754;33475+33476;Ventilador Molokai FARO + Kit de Luz LED. Motor DC. 125cm. ?;30;0.00;483,00;
19613904;33475;Ventilador de techo Molokai Faro - Sin luz Motor DC. 125 ?;30;0.00;373,00;8421776091030
19613981;33549;Ventilador Vulcano FARO motor DC luz Led 152cm. ?;30;0.00;584,60;8421776090965
19614664;33700;Ventilador Icaria FARO - Blanco 132cm. ?;30;0.00;227,80;8421776090477
19614721;33701;Ventilador Icaria FARO - Aluminio 132cm. ?;0;134.00;238,50;8421776090484
19614774;33607;Ventilador de techo Panay FARO - Blanco 122cm. ?;0;144.00;235,50;8421776091177
