"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18519565;68503;L?mpara pie Moma Faro - Pant Blanca o negra;30;0.00;299,50;8421776010635
18519617;68531;L?mpara pie de sal?n pantalla serie Thana. FARO.;30;0.00;131,00;8421776010932
18519655;68463;Pie de sal?n extensible derie Papua negro. FARO;30;0.00;217,60;8421776010390
18521038;68462;Pie de sal?n extensible derie Papua blanco. FARO;30;0.00;217,60;8421776010383
18524785;68501;Sobremesa pantalla blanco o negro Moma. Faro;30;0.00;102,80;8421776010611
18525871;68530;L?mpara de sobremesa pantalla serie Thana. FARO;30;0.00;59,70;8421776010925
18528588;68533;Lampara Thana Faro - niquel 3 pantallas;30;0.00;153,80;8421776010949
19270633;71352;Baliza de exterior gris. LED. Serie Gina. FARO.;30;0.00;92,00;8421776083400
19270869;74407;Aplique de exterior 1 luz. Serie Klamp. FARO.;30;0.00;47,20;8421776010963
19270874;74408;Aplique de exterior 2 Luces. Serie Klamp. FARO.;30;0.00;60,30;8421776010994
19273157;75521;Baliza Sete Faro - Iluminacion de exterior LED - 75521;30;0.00;167,80;8421776065376
19276928;70761;Baliza Onze Faro - Iluminacion de exterior altura 65cm.;0;7420; ;8421776034341
19276942;72310;Sobremuro Surat Faro - Iluminacion de exterior - Altura 23cm;30;0.00;66,50;8421776005143
19277023;74441;Baliza Datna Faro - iluminacion exterior suelo 30cm.;30;0.00;103,40;8421776040786
19309567;74444;Farola de exterior gris 250 cm. LED. Serie Datna. FARO.;0;42570; ;8421776081635
19309630;75524;Farola de exterior gris 180 cm. LED. Serie Beret. FARO.;30;0.00;225,80;8421776065758
19311492;75501;Aplique de exterior 2 L. Blanco o gris. Serie Steps. FARO.;30;0.00;48,90;8421776040571
19313252;75502;Aplique de exterior 4 L. Blanco o gris. Serie Steps. FARO.;30;0.00;81,20;8421776040601
19315379;75105+75106;Aplique de exterior blanco o gris. LED. Serie Yak. FARO.;0;; ;
19315545;74411;Baliza gris LED. 66 cm. Serie Klamp. FARO.;30;0.00;158,00;8421776011007
19320760;74427+74437;Colgante exterior LED. 18 o 25 cm. Moon. FARO.;30;0.00;58,90;
19325687;74435+74430;Farola exterior LED. 2, o 3 L. Serie Blub-s. FARO.;30;0.00;340,00;
19325715;74427+74430;Colgante de exterior LED. Aluminio gris. Blub-s. FARO.;30;0.00;73,50;
19325750;74432+74429;Aplique de exterior gris. LED. Serie Muffin. FARO.;30;0.00;79,60;
19325770;74427+74429;Colgante de exterior LED. Aluminio gris. Muffin. FARO.;30;0.00;67,20;
19326543;74432+74428;Aplique de exterior gris.LED. Serie Mistu. FARO.;30;0.00;63,80;
19332383;70753;Baliza 65 cm. Gris o marr?n. Serie Agra. FARO.;30;0.00;194,80;8421776023970
19332401;70756;Baliza 20 cm. Gris o marr?n. Serie Agra. FARO.;30;0.00;141,80;8421776034327
19350425;74435+74438;Farola exterior LED 2 o 3 Luces serie Moon. FARO.;10;2490000; ;
19353515;74435+74429;Farola exterior LED. 2 o 3 L. Serie Muffin. FARO.;30;0.00;333,70;
19463187;75519;Baliza LED. 2 tama?os: 30, o, 65 cm. Serie Das. FARO.;30;0.00;129,50;8421776065352
19463735;70767;Baliza exterior gris. LED. 27 o 65 cm. Serie Giza. FARO.;30;0.00;147,10;8421776078116
