TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
PRUEBA-1620	216.44	0	8435153216206	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3709	273.00	0	8435153237096	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1151	173.55	0	8435153211515	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6500	117.12	0	8435153265006	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1647	48.75	0	8435153216473	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1132	126.75	0	8435153211324	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3873	479.70	0	8435153238734	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6144	204.44	0	8435153261442	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1906	111.15	0	8435153219061	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1805	56.56	0	8435153218057	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5805	276.71	0	8435153258053	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0774	105.3	0	8435153207747	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3623	236.01	0	8435153236235	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3683	97.50	0	8435153236839	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6206	231.76	0	8435153262067	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1130	185.25	0	8435153211300	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4081	232.05	0	8435153240812	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1427	56.56	0	8435153214271	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3537	58.50	0	8435153235375	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5035	40.28	0	8435153250354	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3680	196.95	0	8435153236808	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5432	64.80	0	8435153254321	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4998	263.21	0	8435153249983	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3543	234.00	0	8435153235436	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1425	50.70	0	8435153214257	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6145	208.94	0	8435153261459	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4073	157.95	0	8435153240737	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6487	68.70	0	8435153264870	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6587	256.00	0	8435153265877	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5382	229.46	0	8435153253829	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4602	464.1	0	8435153246029	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4848E	129.01	0	8435153948480	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4921	183.72	0	8435153249211	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4583	243.75	0	8435153245831	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1133	148.20	0	8435153211331	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4849E	95.20	0	8435153948497	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3621	133.62	0	8435153236211	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1139	267.16	0	8435153211393	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6193	187.90	0	8435153261930	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5164	309.52	0	8435153251641	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5912	293.58	0	8435153259128	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3875	263.25	0	8435153238758	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6190	197.10	0	8435153261909	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4080	298.35	0	8435153240805	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6141	137.94	0	8435153261411	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6690	182.22	0	8435153266904	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4927	53.00	0	8435153249273	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6584	184.00	0	8435153265846	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5802	293.58	0	8435153258022	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5390	283.45	0	8435153253904	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5707	236.20	0	8435153257070	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6800	375.52	0	8435153268000	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1885	70.00	0	8435153218859	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6006	307.09	0	8435153260063	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4983	249.71	0	8435153249839	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6267	95.44	0	8435153262678	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4575	247.65	0	8435153245756	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6138	107.84	0	8435153261381	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1398	89.60	0	8435153213984	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4930	120.13	0	8435153249303	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4989	182.23	0	8435153249891	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4866	296.95	0	8435153248665	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6536	42.50	0	8435153265365	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6105	494.10	0	8435153261053	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1881	152.00	0	8435153218811	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6201	93.94	0	8435153262012	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5102	66.30	0	8435153251023	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6385	105.80	0	8435153263859	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5861	157.95	0	8435153258619	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6562	115.00	0	8435153265624	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6100	404.39	0	8435153261008	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5031	38.86	0	8435153250316	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6162	114.97	0	8435153261626	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6702	79.80	0	8435153267022	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6361	54.77	0	8435153263613	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6244	38.19	0	8435153262449	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6243	29.20	0	8435153262432	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6046	35.90	0	8435153260469	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1102	31.21	0	8435153211027	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6356	67.53	0	8435153263569	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6294	89.86	0	8435153262944	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4610	313.95	0	8435153246104	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1800	202.80	0	8435153218002	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6354	63.27	0	8435153263545	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1542	430.95	0	8435153215421	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1158	136.50	0	8435153211584	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6305	55.41	0	8435153263057	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5167	77.57	0	8435153251672	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0788	91.65	0	8435153207884	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5214	110.27	0	8435153252143	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6126	494.26	0	8435153261268	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1916	111.15	0	8435153219160	EAN	NEW									3																																																																																																																																																																																																																																																		
