"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18967902;29-E47;Espejo Sorrento Schuller - Veneciano;4;0.00;0,00;
19130417;385314;Espejo Aros Schuller marco espejo ?120;77;0.00;0,00;
19130422;385415;Espejo Alhambra Schuller 120x87;22;0.00;0,00;
19130425;386113;Espejo City Schuller - Moderno 140x68;27;0.00;0,00;
19133870;651320;Espejo Irina Schuller - marco curvo 200x90;8;0.00;0,00;
19133970;651431;Espejo Curves Schuller - 160x70;2;0.00;0,00;
19134031;651542;Espejo Curves Schuller - 103x75;6;0.00;0,00;
19134398;786136;Bajorrelieve Fosil Schuller - Cuadro 60x60;62;0.00;0,00;
19134441;786351;Bajorrelieve Skull Schuller - Cuadro calavera espejo;18;0.00;0,00;
19214530;552307;Mesa de centro cristal curvado 110 cm. serie Glass. SCHULLER;7;298.00;;
19214534;552522;Mesa Glass Schuller - Mueble auxiliar cristal con ruedas;117;0.00;0,00;
19235808;532115;Sill?n en piel Italiana serie Amanda.   SCHULLER;1;0.00;0,00;
21396380;827494;Lampara Eire Schuller - 6 colgantes - Luz LED;2;408.00;;8435435317492
21418465;436218;Colgante Quasar Schuller - tulipa plata luz LED;65;0.00;0,00;
21418478;436462;Sobremesa Quasar Schuller - Tulipa plata luz LED;24;0.00;0,00;
21419786;436631;Aplique Quasar Schuller - Tulipa Cromo;38;0.00;0,00;
21420543;E-102048;Colgante de copens. 2 tama?os serie Elis.   SCHULLER;0;413.00;;
21420544;102219;Colgante de copens. 2 tama?os serie Elis.   SCHULLER;1;682.00;;
21524121;854275;Colgante Diva Schuller - L?mpara LED redonda;13;0.00;0,00;
21524263;854416N;L?mpara Diva Schuller - 3 Colgantes cuadrados LED;27;0.00;0,00;
21524341;854537;Lampara Diva Schuller - 4 Colgantes cuadrados LED;1;475.00;;8435435323639
21524387;854321;L?mpara Diva Schuller - 2 Colgantes ovalados LED;23;0.00;0,00;
21524398;854683;Aplique Diva Schuller - Abalorios cristal - LED;107;0.00;0,00;
21527961;736210;Lampara de pie Linur Schuller - LED graduable;0;0.00;0,00;
21528096;736321;Sobremesa Linur Schuller - Moderno 2 Barras LED;11;0.00;0,00;
21528114;736543;Lampara Linur Schuller - 2 barras iluminacion LED;20;0.00;0,00;
21528174;736432;Plafon Linur Schuller - 2 barras modernas con luz LED;6;211.00;;8435435317041
21528320;456342;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;169;0.00;0,00;
21528321;456231;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;112;0.00;0,00;
21528322;456120;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;86;0.00;0,00;
21528341;456453;Lampara Dana Schuller - Colgante cristal luz LED;120;0.00;0,00;
21528427;679215N;L?mpara Cala Schuller - 2 colgantes Iluminaci?n LED;37;0.00;0,00;
22249636;741563;Lampara Orbita Schuller - 4 focos de luz LED;7;0.00;0,00;
22250232;683759;Lampara Nao Schuller - 2 barras lineales LED;8;0.00;0,00;
22250280;513712;Aplique Briana Schuller - Pan de oro - LED;14;0.00;0,00;
22250281;513646;Lampara de techo plata 6 u 8 pantallas.    Serie Briana Schuller;6;418.00;;
22250282;513825;Lampara Briana Schuller - Pan de plata 6 u 8 pantallas;2;682.00;825,22;8435435316426
22250506;618859;Colgante Caelum Schuller - Tulipa Cobre LED;12;0.00;0,00;
22250511;746709;Lampara Odissey Schuller - 6 barras LED;14;0.00;0,00;
22250517;447510D;Lampara Anisia Schuller - 3 modulos de luz LED y mando;0;1138.00;;8435435322830
22250518;447510;Lampara Anisia Schuller - 3 modulos de luz LED;27;0.00;0,00;
22259244;641942;Colgante Laia Schuller - tulipa azul vintage - LED;35;0.00;0,00;
22259263;642053;Colgante Laia Schuller - tulipa ambar vintage - LED;67;0.00;0,00;
22260649;563958;Plafon Mare Schuller - Lampara cromo abalorios;9;0.00;0,00;
22263229;257685;Lampara Laura Schuller - Colgante blanco y oro - LED;28;0.00;0,00;
22263286;520783;L?mpara Holandesa Schuller - Cromo 6 luces penduloques;19;0.00;0,00;
22545951;480531/4834;Aplique Florentino Schuller - 2 luces con pantallas;57;173.00;;8435435304683
24216765;793301;Colgante Sphere Schuller 1 bola cromo ?12cm LED;125;0.00;0,00;
24216773;793412;Colgante Sphere Schuller 1 bola cromo ?20cm LED;42;0.00;0,00;
24216778;793523;Colgante Sphere Schuller 5 bolas cromo LED;73;0.00;0,00;
24216782;793635;Lampara Sphere Schuller - lineal 4 bolas cromo LED;51;0.00;0,00;
24216790;793746;Colgante Sphere Schuller 14 bolas cromo LED;6;0.00;0,00;
24216798;756853;Lampara Katia Schuller - redonda Acero 14 luces LED;14;0.00;0,00;
24221183;756729;Lampara Katia Schuller - Acero 10 luces LED;2;0.00;0,00;
24238617;266753;Aplique Narisa Schuller. Rosa/blanco/cromo;1;0.00;0,00;
24238618;266724;Aplique Narisa Schuller. Rosa/blanco/cromo;23;0.00;0,00;
24238619;266782N;Aplique Narisa Schuller. Rosa/blanco/cromo;76;0.00;0,00;
24238879;266028;Colgante Narisa Schuller ?18cm. Rosa/cromo;6;0.00;0,00;
24238880;266035N;Colgante Narisa Schuller ?18cm. Rosa/cromo;96;0.00;0,00;
24238904;266172;Colgante Narisa Schuller ?32cm Oro Rosa.;22;0.00;0,00;
24239188;266426;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;22;0.00;0,00;
24239189;266401;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;1;494.00;;
24239190;266492;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;6;494.00;;
24240872;266290;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;65;0.00;0,00;
