TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-101060	9.4	20	8426107741257	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365090	9.4	20	8426107005045	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365091	9.4	20	8426107030214	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365092	9.4	20	8426107030221	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366107	9.4	20	8426107006684	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366109	9.4	20	8426107006707	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366117	9.4	20	8426107006721	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101034	9.56	20	8426107005830	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102025	9.56	20	8426107013828	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224010	9.56	5	8426107005168	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224012	9.56	5	8426107005175	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224310	9.56	20	8426107005106	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224312	9.56	5	8426107005113	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224410	9.56	20	8426107005199	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224412	9.56	20	8426107005205	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365093	9.56	20	8426107852137	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365095	9.56	20	8426107852120	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366119	9.8	20	8426107006745	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366121	9.8	20	8426107006769	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366123	9.8	20	8426107006783	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366124	9.8	20	8426107006790	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366126	9.8	20	8426107006813	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366128	9.8	20	8426107006837	EAN	NEW									3																																																																																																																																																																																																																																																		
015-150310	10	5	8426107106452	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112323	10.36	20	8426107794680	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112415	10.36	20	8426107919199	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112416	10.36	20	8426107919182	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216000	10.36	20	8426107012661	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216003	10.36	20	8426107012692	EAN	NEW									3																																																																																																																																																																																																																																																		
