TemplateType=Offer	Version=2014.0703																	
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
057M-3621	133,62	0	8,43515E+12	EAN	NEW									3					
057M-1139	267,16	0	8,43515E+12	EAN	NEW									3					
057M-6193	187,90	17	8,43515E+12	EAN	NEW									3					
057M-5164	309,52	0	8,43515E+12	EAN	NEW									3					
057M-5912	293,58	2	8,43515E+12	EAN	NEW									3					
057M-3875	263,25	21	8,43515E+12	EAN	NEW									3					
057M-6190	197,10	0	8,43515E+12	EAN	NEW									3					
057M-4080	298,35	23	8,43515E+12	EAN	NEW									3					
057M-6141	137,94	30	8,43515E+12	EAN	NEW									3					
057M-6690	182,22	20	8,43515E+12	EAN	NEW									3					
057M-4927	53,00	38	8,43515E+12	EAN	NEW									3					
057M-6584	184,00	59	8,43515E+12	EAN	NEW									3					
057M-5802	293,58	0	8,43515E+12	EAN	NEW									3					
057M-5390	283,45	0	8,43515E+12	EAN	NEW									3					
057M-5707	236,20	0	8,43515E+12	EAN	NEW									3					
057M-6800	375,52	24	8,43515E+12	EAN	NEW									3					
057M-1885	70,00	0	8,43515E+12	EAN	NEW									3					
057M-6006	307,09	0	8,43515E+12	EAN	NEW									3					
057M-4983	249,71	56	8,43515E+12	EAN	NEW									3					
057M-6267	95,44	7	8,43515E+12	EAN	NEW									3					
057M-4575	247.65	0	8,43515E+12	EAN	NEW									3					
057M-6138	107,84	28	8,43515E+12	EAN	NEW									3					
057M-1398	89,60	57	8,43515E+12	EAN	NEW									3					
057M-4930	120,13	51	8,43515E+12	EAN	NEW									3					
057M-4989	182,23	0	8,43515E+12	EAN	NEW									3					
057M-4866	296,95	0	8,43515E+12	EAN	NEW									3					
057M-6536	42,50	368	8,43515E+12	EAN	NEW									3					
057M-6105	494,10	0	8,43515E+12	EAN	NEW									3					
057M-1881	152,00	4	8,43515E+12	EAN	NEW									3					
057M-6201	93,94	0	8,43515E+12	EAN	NEW									3					
057M-5102	66,30	17	8,43515E+12	EAN	NEW									3					
057M-6385	105,80	0	8,43515E+12	EAN	NEW									3					
057M-5861	157,95	0	8,43515E+12	EAN	NEW									3					
057M-6562	115,00	54	8,43515E+12	EAN	NEW									3					
057M-6100	404,39	49	8,43515E+12	EAN	NEW									3					
057M-5031	38,86	8	8,43515E+12	EAN	NEW									3					
057M-6162	114,97	61	8,43515E+12	EAN	NEW									3					
057M-6702	79,80	146	8,43515E+12	EAN	NEW									3					
057M-6361	54.77	0	8,43515E+12	EAN	NEW									3					
057M-6244	38,19	650	8,43515E+12	EAN	NEW									3					
057M-6243	29,20	746	8,43515E+12	EAN	NEW									3					
057M-6046	35,90	407	8,43515E+12	EAN	NEW									3					
057M-1102	31,21	0	8,43515E+12	EAN	NEW									3					
057M-6356	67,53	1	8,43515E+12	EAN	NEW									3					
057M-6294	89.86	0	8,43515E+12	EAN	NEW									3					
057M-4610	313,95	1	8,43515E+12	EAN	NEW									3					
057M-1800	202,80	32	8,43515E+12	EAN	NEW									3					
057M-6354	63.27	0	8,43515E+12	EAN	NEW									3					
057M-1542	430,95	1	8,43515E+12	EAN	NEW									3					
057M-1158	136,50	0	8,43515E+12	EAN	NEW									3					
057M-6305	55.41	0	8,43515E+12	EAN	NEW									3					
057M-5167	77.57	0	8,43515E+12	EAN	NEW									3					
057M-0788	91,65	0	8,43515E+12	EAN	NEW									3					
057M-5214	110,27	1	8,43515E+12	EAN	NEW									3					
057M-6126	494,26	1	8,43515E+12	EAN	NEW									3					
057M-1916	111,15	1	8,43515E+12	EAN	NEW									3					
057M-4963E	233,50	33	8,43515E+12	EAN	NEW									3					
057M-5876	358,80	0	8,43515E+12	EAN	NEW									3					
057M-5401	236,20	0	8,43515E+12	EAN	NEW									3					
057M-4603	959,40	1	8,43515E+12	EAN	NEW									3					
057M-5001	276,71	35	8,43515E+12	EAN	NEW									3					
057M-0952	27,30	3	8,43515E+12	EAN	NEW									3					
057M-6265	47,03	56	8,43515E+12	EAN	NEW									3					
057M-6572	153,19	24	8,43515E+12	EAN	NEW									3					
057M-1426	31,21	0	8,43515E+12	EAN	NEW									3					
057M-6585	112,00	54	8,43515E+12	EAN	NEW									3					
057M-5563	494,13	7	8,43515E+12	EAN	NEW									3					
057M-1802	158,00	0	8,43515E+12	EAN	NEW									3					
057M-0954	46,80	0	8,43515E+12	EAN	NEW									3					
057M-1435	50,70	0	8,43515E+12	EAN	NEW									3					
057M-5770	315,12	3	8,43515E+12	EAN	NEW									3					
057M-5785	292,60	2	8,43515E+12	EAN	NEW									3					
057M-6320	264,86	2	8,43515E+12	EAN	NEW									3					
057M-6208	231,76	0	8,43515E+12	EAN	NEW									3					
057M-1176	116,99	2	8,43515E+12	EAN	NEW									3					
057M-1937	115,05	0	8,43515E+12	EAN	NEW									3					
057M-3850	612,30	29	8,43515E+12	EAN	NEW									3					
057M-1115	179,39	1	8,43515E+12	EAN	NEW									3					
057M-1927	329,56	0	8,43515E+12	EAN	NEW									3					
057M-1814	108,00	31	8,43515E+12	EAN	NEW									3					
057M-6339	83,78	20	8,43515E+12	EAN	NEW									3					
057M-5821	492,68	0	8,43515E+12	EAN	NEW									3					
057M-4994	222,72	0	8,43515E+12	EAN	NEW									3					
057M-6580	374,00	29	8,43515E+12	EAN	NEW									3					
057M-4999	236,20	0	8,43515E+12	EAN	NEW									3					
057M-3624	113,28	9	8,43515E+12	EAN	NEW									3					
057M-4576	405,60	1	8,43515E+12	EAN	NEW									3					
057M-4570	212,55	2	8,43515E+12	EAN	NEW									3					
057M-6350	365,33	3	8,43515E+12	EAN	NEW									3					
057M-4482	398.65	0	8,43515E+12	EAN	NEW									3					
057M-5270	334,62	5	8,43515E+12	EAN	NEW									3					
057M-5990K	307,75	0	8,43515E+12	EAN	NEW									3					
057M-0955	156,01	0	8,43515E+12	EAN	NEW									3					
057M-4738	261,30	0	8,43515E+12	EAN	NEW									3					
057M-1901	202,80	3	8,43515E+12	EAN	NEW									3					
057M-4964E	46,70	44	8,43515E+12	EAN	NEW									3					
057M-3545	68,24	15	8,43515E+12	EAN	NEW									3					
057M-6402	63,00	375	8,43515E+12	EAN	NEW									3					
057M-4600	107,25	13	8,43515E+12	EAN	NEW									3					
057M-0787	76,05	0	8,43515E+12	EAN	NEW									3					
057M-6004	236,20	1	8,43515E+12	EAN	NEW									3					
057M-1170	185,25	4	8,43515E+12	EAN	NEW									3					
057M-6130	188,72	31	8,43515E+12	EAN	NEW									3					
057M-4929	89,74	44	8,43515E+12	EAN	NEW									3					
057M-5860	261,30	0	8,43515E+12	EAN	NEW									3					
057M-1101	210,60	0	8,43515E+12	EAN	NEW									3					
057M-3853	462,15	22	8,43515E+12	EAN	NEW									3					
057M-6008K	95,84	21	8,43515E+12	EAN	NEW									3					
057M-1137	116,99	0	8,43515E+12	EAN	NEW									3					
057M-4840E	110.38	0	8,43515E+12	EAN	NEW									3					
057M-4920	183,72	6	8,43515E+12	EAN	NEW									3					
057M-5100	187,20	1	8,43515E+12	EAN	NEW									3					
057M-4077	62.4	0	8,43515E+12	EAN	NEW									3					
057M-4604	2.207,40	2	8,43515E+12	EAN	NEW									3					
057M-2331	249.6	0	8,43515E+12	EAN	NEW									3					
057M-5801	259,84	0	8,43515E+12	EAN	NEW									3					
057M-6263	231,69	0	8,43515E+12	EAN	NEW									3					
057M-6001K	242,96	26	8,43515E+12	EAN	NEW									3					
057M-4842E	144.87	0	8,43515E+12	EAN	NEW									3					
057M-1822	164,00	24	8,43515E+12	EAN	NEW									3					
057M-1179	267,16	0	8,43515E+12	EAN	NEW									3					
057M-5431	72,00	33	8,43515E+12	EAN	NEW									3					
057M-3682	64,35	32	8,43515E+12	EAN	NEW									3					
057M-1924	56,56	0	8,43515E+12	EAN	NEW									3					
057M-5140	384,43	0	8,43515E+12	EAN	NEW									3					
057M-3852	232,05	66	8,43515E+12	EAN	NEW									3					
057M-6730	405,64	49	8,43515E+12	EAN	NEW									3					
057M-3870	637,65	7	8,43515E+12	EAN	NEW									3					
057M-6617	109,17	32	8,43515E+12	EAN	NEW									3					
057M-0997	113,10	0	8,43515E+12	EAN	NEW									3					
057M-1421	159,90	0	8,43515E+12	EAN	NEW									3					
057M-1131	193,06	25	8,43515E+12	EAN	NEW									3					
057M-5391	367,14	0	8,43515E+12	EAN	NEW									3					
057M-1904	52,65	0	8,43515E+12	EAN	NEW									3					
057M-3625	53,74	46	8,43515E+12	EAN	NEW									3					
057M-4601	177,45	31	8,43515E+12	EAN	NEW									3					
057M-0991	187,20	2	8,43515E+12	EAN	NEW									3					
057M-1112	31,21	2	8,43515E+12	EAN	NEW									3					
057M-1823	132,00	28	8,43515E+12	EAN	NEW									3					
057M-6000K	202,47	0	8,43515E+12	EAN	NEW									3					
057M-5365	84,80	0	8,43515E+12	EAN	NEW									3					
057M-0771	217,38	0	8,43515E+12	EAN	NEW									3					
057M-4639	159,90	4	8,43515E+12	EAN	NEW									3					
057M-3542	173,55	15	8,43515E+12	EAN	NEW									3					
057M-1156	111,15	1	8,43515E+12	EAN	NEW									3					
057M-1117	130,66	0	8,43515E+12	EAN	NEW									3					
057M-6108	310,58	0	8,43515E+12	EAN	NEW									3					
057M-5926	109,53	175	8,43515E+12	EAN	NEW									3					
057M-5916	380,71	0	8,43515E+12	EAN	NEW									3					
057M-6640	188,68	0	8,43515E+12	EAN	NEW									3					
057M-1811	173,55	0	8,43515E+12	EAN	NEW									3					
057M-4971	215,68	0	8,43515E+12	EAN	NEW									3					
057M-6693	138,76	21	8,43515E+12	EAN	NEW									3					
057M-5726	384,70	0	8,43515E+12	EAN	NEW									3					
057M-5790	136,50	0	8,43515E+12	EAN	NEW									3					
057M-6185	155,41	19	8,43515E+12	EAN	NEW									3					
057M-4972	241,82	0	8,43515E+12	EAN	NEW									3					
057M-4860	226,09	17	8,43515E+12	EAN	NEW									3					
057M-6195	177,39	0	8,43515E+12	EAN	NEW									3					
057M-6107	125,64	40	8,43515E+12	EAN	NEW									3					
057M-6413	72,98	24	8,43515E+12	EAN	NEW									3					
057M-5466	72,78	17	8,43515E+12	EAN	NEW									3					
057M-1152	120,90	0	8,43515E+12	EAN	NEW									3					
057M-1155	79,94	0	8,43515E+12	EAN	NEW									3					
057M-5863	157,95	0	8,43515E+12	EAN	NEW									3					
057M-6560	190,50	134	8,43515E+12	EAN	NEW									3					
057M-5440	91,11	33	8,43515E+12	EAN	NEW									3					
057M-6700	56,30	173	8,43515E+12	EAN	NEW									3					
057M-4962E	123,82	44	8,43515E+12	EAN	NEW									3					
057M-6139	148,29	6	8,43515E+12	EAN	NEW									3					
057M-4861	232,84	0	8,43515E+12	EAN	NEW									3					
057M-5360	201,02	0	8,43515E+12	EAN	NEW									3					
057M-6701	56,30	124	8,43515E+12	EAN	NEW									3					
057M-6551	88,80	83	8,43515E+12	EAN	NEW									3					
057M-5465	185,84	20	8,43515E+12	EAN	NEW									3					
057M-3858	126,75	67	8,43515E+12	EAN	NEW									3					
057M-4863	80,99	0	8,43515E+12	EAN	NEW									3					
057M-3681	46,80	0	8,43515E+12	EAN	NEW									3					
057M-0772	74,66	21	8,43515E+12	EAN	NEW									3					
057M-4967E	233,50	0	8,43515E+12	EAN	NEW									3					
057M-6168	116,86	114	8,43515E+12	EAN	NEW									3					
057M-4635	66,30	1	8,43515E+12	EAN	NEW									3					
057M-C0044	36,40	971	8,43515E+12	EAN	NEW									3					
057M-6200	80,82	0	8,43515E+12	EAN	NEW									3					
057M-4821	222,30	7	8,43515E+12	EAN	NEW									3					
057M-1631	144,30	4	8,43515E+12	EAN	NEW									3					
057M-1919	124,80	3	8,43515E+12	EAN	NEW									3					
057M-6292	322,30	1	8,43515E+12	EAN	NEW									3					
057M-5211	142,21	2	8,43515E+12	EAN	NEW									3					
057M-1646	126,75	2	8,43515E+12	EAN	NEW									3					
057M-6131	175,24	20	8,43515E+12	EAN	NEW									3					
057M-5275	124.8	0	8,43515E+12	EAN	NEW									3					
057M-1915	72.15	0	8,43515E+12	EAN	NEW									3					
057M-4931	120,13	4	8,43515E+12	EAN	NEW									3					
057M-6720	462,11	27	8,43515E+12	EAN	NEW									3					
057M-6003K	226,77	0	8,43515E+12	EAN	NEW									3					
057M-6266	25,59	30	8,43515E+12	EAN	NEW									3					
057M-0939	72,15	0	8,43515E+12	EAN	NEW									3					
057M-6129	521,22	5	8,43515E+12	EAN	NEW									3					
057M-6412	124,32	26	8,43515E+12	EAN	NEW									3					
057M-3773	64,35	83	8,43515E+12	EAN	NEW									3					
057M-6182	290,55	23	8,43515E+12	EAN	NEW									3					
057M-3888	89,70	113	8,43515E+12	EAN	NEW									3					
057M-0950	136,50	0	8,43515E+12	EAN	NEW									3					
057M-5943	33,15	1.479	8,43515E+12	EAN	NEW									3					
057M-3710	120,90	3	8,43515E+12	EAN	NEW									3					
057M-6501	92,06	3	8,43515E+12	EAN	NEW									3					
057M-5900	1.164,15	5	8,43515E+12	EAN	NEW									3					
057M-6300	550,68	6	8,43515E+12	EAN	NEW									3					
057M-1401	245,70	1	8,43515E+12	EAN	NEW									3					
057M-6207	358,78	4	8,43515E+12	EAN	NEW									3					
057M-1177	116,99	5	8,43515E+12	EAN	NEW									3					
057M-3626	161,94	4	8,43515E+12	EAN	NEW									3					
